"pid","location","totval","bedrooms","bathrooms","halfbaths"
43,"MORRIS CSWY",3256500,NA,NA,NA
44,"URIAH ST",5887800,NA,NA,NA
45,"MORRIS CSWY",61200,NA,NA,NA
46,"25 TOWNSEND AV",340500,0,0,NA
47,"19 MORRIS CSWY",173000,2,2,0
48,"25 MORRIS CSWY",182300,3,2,0
49,"31 MORRIS CSWY",171900,2,1,0
50,"39 MORRIS CSWY",145800,3,1,0
51,"43 MORRIS CSWY",155100,3,1,1
52,"49 MORRIS CSWY",2889600,NA,NA,NA
53,"11 TOWNSEND AV",167500,2,1,0
54,"13 TOWNSEND AV",166800,3,1,1
55,"15 TOWNSEND AV",165600,3,1,0
56,"17 TOWNSEND AV",142700,3,1,1
57,"19 TOWNSEND AV",153800,4,2,0
58,"21 TOWNSEND AV",155400,3,2,0
59,"1209 DEAN ST",5400,NA,NA,NA
60,"1227 DEAN ST",3200,NA,NA,NA
61,"1237 DEAN ST",3200,NA,NA,NA
62,"1251 DEAN ST",3200,NA,NA,NA
63,"DEAN ST",3200,NA,NA,NA
64,"1271 DEAN ST",3900,NA,NA,NA
65,"DEAN ST",2100,NA,NA,NA
66,"1285 DEAN ST",2100,NA,NA,NA
67,"1305 DEAN ST",5700,NA,NA,NA
68,"1327 DEAN ST",5700,NA,NA,NA
69,"191 BURR ST",1180800,0,0,NA
70,"269 BURR ST",394000,NA,NA,NA
71,"353 BURR ST",852600,NA,NA,NA
72,"425 DODGE AV",1266900,NA,NA,NA
73,"392 BURR ST",900,NA,NA,NA
74,"400 BURR ST #1",620,NA,NA,NA
75,"400 BURR ST #2",340,NA,NA,NA
76,"400 BURR ST #3",410,NA,NA,NA
77,"396 BURR ST #4",263500,4,2,1
78,"400 BURR ST #5",286500,3,2,1
79,"400 BURR ST #6",298400,3,2,1
80,"400 BURR ST #7",312700,3,2,1
81,"400 BURR ST #8",344100,3,2,1
82,"400 BURR ST #9",287200,3,2,1
83,"392 BURR ST",129200,3,1,0
84,"384 BURR ST",124600,3,1,0
85,"374 BURR ST",125000,3,1,0
86,"366 BURR ST",128100,3,1,1
87,"360 BURR ST",131600,4,2,0
88,"354 BURR ST",141700,3,1,1
89,"348 BURR ST",155700,3,1,0
90,"344 BURR ST",4500,NA,NA,NA
91,"342 BURR ST",66100,NA,NA,NA
92,"340 BURR ST",145700,3,1,0
93,"336 BURR ST",181500,3,1,1
94,"330 BURR ST",152700,3,1,0
95,"320 BURR ST",159200,3,1,1
96,"310 BURR ST",170700,3,1,0
97,"175 TOWNSEND TER",287900,3,1,1
98,"155 TOWNSEND TER",320300,4,2,1
