"pid","location","totval","bedrooms","bathrooms","halfbaths"
143,"675 TOWNSEND AV #133","150700","2","1","1"
144,"675 TOWNSEND AV #134","157200","2","1","1"
145,"675 TOWNSEND AV #135","201300","2","2","1"
146,"675 TOWNSEND AV #136","201300","2","2","1"
147,"675 TOWNSEND AV #137","164500","2","2","0"
148,"675 TOWNSEND AV #138","201300","2","2","1"
149,"675 TOWNSEND AV #139","164800","2","1","1"
150,"675 TOWNSEND AV #140","164800","2","1","1"
151,"675 TOWNSEND AV #141","201300","2","2","1"
152,"675 TOWNSEND AV #142","170000","2","2","0"
153,"675 TOWNSEND AV #143","204900","2","3","1"
154,"675 TOWNSEND AV #154","190800","2","3","1"
155,"675 TOWNSEND AV #155","164800","2","1","1"
156,"675 TOWNSEND AV #156","166800","2","1","1"
157,"675 TOWNSEND AV #157","201300","2","2","1"
158,"675 TOWNSEND AV #158","183600","2","2","0"
159,"675 TOWNSEND AV #159","201300","2","2","1"
160,"675 TOWNSEND AV #160","184300","2","2","1"
161,"675 TOWNSEND AV #161","164800","2","1","1"
162,"675 TOWNSEND AV #162","166800","2","1","1"
163,"675 TOWNSEND AV #163","187900","2","2","0"
164,"675 TOWNSEND AV #164","201300","2","2","1"
165,"675 TOWNSEND AV #165","164800","2","1","1"
166,"675 TOWNSEND AV #166","166700","2","1","1"
167,"675 TOWNSEND AV #167","164500","2","2","0"
168,"675 TOWNSEND AV #168","123600","1","1","0"
169,"675 TOWNSEND AV #169","153600","2","1","1"
170,"675 TOWNSEND AV #170","150700","2","1","1"
171,"675 TOWNSEND AV #171","150600","2","2","0"
172,"675 TOWNSEND AV #178","169800","2","2","0"
173,"675 TOWNSEND AV #179","153600","2","1","1"
174,"675 TOWNSEND AV #180","150000","2","1","1"
175,"675 TOWNSEND AV #181","140000","2","2","0"
176,"675 TOWNSEND AV #190","163800","2","2","0"
177,"675 TOWNSEND AV #191","150700","2","1","1"
178,"675 TOWNSEND AV #192","150700","2","1","1"
179,"675 TOWNSEND AV #193","172100","2","2","0"
180,"675 TOWNSEND AV #186","152900","2","2","0"
181,"675 TOWNSEND AV #187","151900","2","1","1"
182,"675 TOWNSEND AV #188","150700","2","1","1"
183,"675 TOWNSEND AV #189","152900","2","2","0"
184,"675 TOWNSEND AV #182","152300","2","2","0"
185,"675 TOWNSEND AV #183","150000","2","1","1"
186,"675 TOWNSEND AV #184","154200","2","1","1"
187,"675 TOWNSEND AV #185","172100","2","2","0"
188,"675 TOWNSEND AV #176","111600","1","1","0"
189,"675 TOWNSEND AV #177","153500","2","2","0"
190,"675 TOWNSEND AV #172","143000","2","1","1"
191,"675 TOWNSEND AV #173","153200","2","1","1"
192,"675 TOWNSEND AV #174","152600","2","1","1"
193,"675 TOWNSEND AV #175","109600","3","1","0"
194,"675 TOWNSEND AV #152","119300","1","1","0"
195,"675 TOWNSEND AV #153","150600","2","2","0"
196,"675 TOWNSEND AV #148","157400","2","1","1"
197,"675 TOWNSEND AV #149","150700","2","1","1"
198,"675 TOWNSEND AV #150","150700","2","1","1"
199,"675 TOWNSEND AV #151","125200","2","2","0"
200,"675 TOWNSEND AV #144","157400","2","1","1"
201,"675 TOWNSEND AV #145","150700","2","1","1"
202,"675 TOWNSEND AV #146","150700","2","1","1"
203,"675 TOWNSEND AV #147","159500","2","1","1"
204,"675 TOWNSEND AV #128","184300","2","2","1"
205,"675 TOWNSEND AV #129","150700","2","1","1"
206,"675 TOWNSEND AV #130","150700","2","1","1"
207,"675 TOWNSEND AV #131","184300","2","2","1"
208,"675 TOWNSEND AV #126","155800","2","2","1"
209,"675 TOWNSEND AV #127","199300","2","2","1"
210,"675 TOWNSEND AV #122","191000","2","2","1"
211,"675 TOWNSEND AV #123","150700","2","1","1"
212,"675 TOWNSEND AV #124","170400","2","1","1"
213,"675 TOWNSEND AV #125","191100","2","2","1"
214,"675 TOWNSEND AV #112","175400","2","2","1"
215,"675 TOWNSEND AV #113","150700","2","1","1"
216,"675 TOWNSEND AV #114","150700","2","1","1"
217,"675 TOWNSEND AV #115","191000","2","2","1"
218,"675 TOWNSEND AV #108","172100","2","2","0"
219,"675 TOWNSEND AV #109","155900","2","1","1"
