"pid","location","totval","bedrooms","bathrooms","halfbaths"
1234,"491 LIGHTHOUSE RD","202900","5","3","0"
1235,"499 LIGHTHOUSE RD","208800","6","2","0"
1236,"38 TOWNSEND AV","290300","00","0","0"
1237,"32 TOWNSEND AV","162900","3","1","0"
1238,"30 TOWNSEND AV","123500","2","1","1"
1239,"TOWNSEND AV","1000","","",""
1240,"28 TOWNSEND AV","217400","00","0",""
1241,"26 TOWNSEND AV","67600","","",""
1242,"488 LIGHTHOUSE RD","760500","00","0",""
1243,"506 LIGHTHOUSE RD","157600","3","1","0"
1244,"502 LIGHTHOUSE RD","177800","3","1","1"
1245,"496 LIGHTHOUSE RD","180900","3","1","1"
1246,"490 LIGHTHOUSE RD","169900","4","2","0"
1247,"482 LIGHTHOUSE RD","154500","4","2","0"
1248,"35 MORRIS COVE RD","176600","4","2","0"
1249,"43 MORRIS COVE RD","173800","3","1","1"
1250,"47 MORRIS COVE RD","175000","3","2","0"
1251,"53 MORRIS COVE RD","186400","3","1","1"
1252,"57 MORRIS COVE RD","162100","3","1","0"
1253,"67 MORRIS COVE RD","172800","3","2","0"
1254,"MORRIS COVE RD","30100","","",""
1255,"MORRIS COVE RD","400","","",""
1256,"MORRIS COVE RD","400","","",""
1257,NA,NA,"","",""
1258,"70 CONCORD ST","169000","3","1","0"
1259,"66 CONCORD ST","201600","6","2","0"
1260,"60 CONCORD ST","224800","6","2","0"
1261,"54 CONCORD ST","178700","3","1","1"
1262,"50 CONCORD ST","233500","3","2","0"
1263,NA,NA,"3","2","0"
1264,"42 CONCORD ST","158500","3","1","1"
1265,"38 CONCORD ST","189300","3","1","0"
1266,"30 CONCORD ST","223200","3","1","1"
1267,"27 TOWNSEND AV","3200","","",""
1268,"27 TOWNSEND AV","213300","00","0",""
1269,"29 TOWNSEND AV","125300","00","0",""
1270,"33 TOWNSEND AV","183600","00","0","1"
1270,"33 TOWNSEND AV","183600","3","1","1"
1271,"35 TOWNSEND AV","304200","00","0","1"
1272,"41 TOWNSEND AV","172400","3","1","0"
1273,"TOWNSEND AV","2100","","",""
1274,"43 TOWNSEND AV","200400","4","1","1"
1275,"45 TOWNSEND AV","189400","4","1","1"
1276,"49 TOWNSEND AV","169200","4","1","0"
1277,"53 TOWNSEND AV","202000","4","1","0"
1278,"57 TOWNSEND AV","173600","3","1","0"
1279,"61 TOWNSEND AV","170800","3","1","0"
1280,"65 TOWNSEND AV","182500","3","1","0"
1281,"67 TOWNSEND AV","296200","3","2","0"
1282,"75 TOWNSEND AV","176100","3","1","0"
1283,"81 TOWNSEND AV","209600","3","1","0"
1284,"1 DOUGLASS AV","216900","3","1","0"
1285,"2 TOWNSEND AV","209500","4","3","0"
1286,"129 OCEAN VIEW ST","174500","4","1","0"
1287,"125 OCEAN VIEW ST","195900","3","1","1"
1288,"55 CLIFFORD TER","185500","3","1","1"
1289,"59 CLIFFORD TER","187600","3","1","1"
1290,"CLIFFORD TER","58500","","",""
1291,"106 MEADOW VIEW TER","278800","3","2","0"
1292,NA,NA,"3","2","0"
1293,NA,NA,"3","2","0"
1294,"104 MEADOW VIEW ST","159100","3","1","0"
1295,"100 MEADOW VIEW ST","160000","4","2","0"
1296,"58 SHEPARD AV","241100","3","1","1"
1297,"54 SHEPARD AV","189500","2","1","1"
1298,"50 SHEPARD AV","224500","2","2","0"
1299,"115 OCEAN VIEW ST","202100","6","2","0"
1300,"415 LIGHTHOUSE RD","174200","3","1","1"
1301,"340 MARION ST","134200","2","1","0"
1302,"334 MARION ST","172800","3","1","1"
1303,"328 MARION ST","174500","4","2","0"
1304,"324 MARION ST","167000","3","2","0"
1305,"6 CONSTANCE ST","309000","4","2","1"
1306,"7 CONSTANCE ST","251500","4","2","0"
1307,"314 MARION ST","187300","3","2","0"
1308,"308 MARION ST","156500","3","1","0"
1309,"300 MARION ST","177300","3","2","0"
1310,"296 MARION ST","187900","3","1","1"
1311,"286 MARION ST","186300","4","2","0"
1312,"280 MARION ST","174200","3","2","0"
1313,"272 MARION ST","210600","6","2","0"
1314,"264 MARION ST","178700","6","2","0"
1315,NA,NA,"6","2","0"
1316,NA,NA,"6","2","0"
1317,NA,NA,"6","2","0"
1318,"62 CLIFFORD TER","216300","4","2","0"
1319,"60 CLIFFORD TER","189900","4","1","0"
1320,"137 OCEAN VIEW ST","229000","5","1","1"
1321,"143 OCEAN VIEW ST","202000","4","1","0"
1322,"147 OCEAN VIEW ST","172200","2","1","0"
1323,"157 OCEAN VIEW ST","149300","2","1","0"
1324,"161 OCEAN VIEW ST","156000","3","2","0"
1325,"163 OCEAN VIEW ST","163500","2","2","0"
1326,"167 OCEAN VIEW ST","221700","3","1","1"
1327,"357 LIGHTHOUSE RD","205200","3","1","0"
1328,"361 LIGHTHOUSE RD","147200","4","1","0"
1329,"365 LIGHTHOUSE RD","176600","3","2","0"
1330,"28 ANTHONY DR","197000","3","4","0"
1331,"24 ANTHONY DR","185400","4","2",""
1332,"18 ANTHONY DR","159600","3","1","1"
1333,"12 ANTHONY DR","174600","3","1","1"
1334,"6 ANTHONY DR","200100","3","1","1"
1335,"ANTHONY DR","2100","","",""
1336,"3 ANTHONY DR","165000","3","1","1"
1337,"9 ANTHONY DR","184800","3","1","1"
1338,"15 ANTHONY DR","207700","3","1","1"
1339,"21 ANTHONY DR","235700","4","2","1"
1340,"ANTHONY DR","1400","","",""
1341,"27 ANTHONY DR","170600","3","1","1"
1342,"387 LIGHTHOUSE RD","209100","3","2","0"
1343,"397 LIGHTHOUSE RD","168200","3","1","1"
1344,"401 LIGHTHOUSE RD","248200","4","2","1"
1345,"411 LIGHTHOUSE RD","176200","2","2","0"
1346,"435 LIGHTHOUSE RD","164400","3","1","1"
1347,NA,NA,"3","1","1"
1348,NA,NA,"3","1","1"
1349,"230 SOUTH END RD","174300","3","1","1"
1350,"220 SOUTH END RD","165800","3","1","0"
1351,"214 SOUTH END RD","168200","3","1","1"
1352,"210 SOUTH END RD","164000","3","1","1"
1353,"194 SOUTH END RD","178100","6","3","0"
1354,"184 SOUTH END RD","179900","3","2","0"
1355,"182 SOUTH END RD","183300","4","2","0"
1356,"172 SOUTH END RD","211100","6","2","0"
1357,"158 SOUTH END RD","134300","2","1","0"
1358,"144 SOUTH END RD","126900","3","1","0"
1359,"180 MEADOW VIEW ST","148700","3","2","0"
1360,"174 MEADOW VIEW ST","173900","3","2","0"
1361,"170 MEADOW VIEW ST","216800","3","2","1"
1362,"158 MEADOW VIEW ST","265200","3","2","1"
1363,"168 MEADOW VIEW ST","174700","3","1","0"
1364,"265 MARION ST","146200","2","2","0"
1365,"279 MARION ST","167000","3","2","0"
1366,"285 MARION ST","189900","2","1","1"
1367,"307 MARION ST","156500","2","1","0"
1368,"309 MARION ST","175100","3","2","0"
1369,"309 MARION ST #1/2","216900","3","1","1"
1370,"311 MARION ST","181800","6","2","0"
1371,"315 MARION ST","167400","3","1","1"
1372,"319 MARION ST","174700","6","3","0"
1373,"323 MARION ST","156200","3","1","1"
1374,"329 MARION ST","213100","3","2","0"
1375,"337 MARION ST","173600","4","1","0"
1376,"341 MARION ST","344300","3","2","1"
1377,NA,NA,"3","2","1"
1378,"425 LIGHTHOUSE RD","239300","4","2","0"
1379,NA,NA,"4","2","0"
1380,"149 COVE ST","277300","4","2","1"
1381,"190 OCEAN VIEW ST","203400","4","1","1"
1382,"346 LIGHTHOUSE RD","357200","3","2","0"
1383,"338 LIGHTHOUSE RD","254900","4","2","0"
1384,"330 LIGHTHOUSE RD","150000","2","2","0"
1385,"328 LIGHTHOUSE RD","358300","3","2","0"
1386,"115 COVE ST","200500","4","2","0"
1387,"119 COVE ST","200600","4","2","0"
1388,"COVE ST","4200","","",""
1389,"133 COVE ST","286500","3","1","1"
1390,"141 COVE ST","280300","2","1","0"
1391,"145 COVE ST","273000","2","2","0"
1392,"198 COVE ST","1948000","3","3","2"
1393,"190 COVE ST","307400","3","1","1"
1394,"184 COVE ST","236900","","",""
1395,"180 COVE ST","482500","3","2","1"
1396,"178 COVE ST","386300","2","1","1"
1397,"174 COVE ST","363900","5","3","0"
1398,"170 COVE ST","504700","4","2","1"
1399,"160 COVE ST","364900","3","2","0"
1400,"156 COVE ST","312800","00","0","2"
1400,"156 COVE ST","312800","","",""
1401,NA,NA,"00","0","2"
1401,NA,NA,"","",""
1402,NA,NA,"00","0","2"
1402,NA,NA,"","",""
1403,"144 COVE ST","390800","6","3","0"
1404,"138 COVE ST","609100","3","2",""
1405,"134 COVE ST","426800","6","3","0"
1406,"132 COVE ST","229100","00","0","1"
1407,"130 COVE ST","258800","2","1","1"
1408,"COVE ST","2100","","",""
1409,"COVE ST","2100","","",""
1410,"114 COVE ST","1318300","4","5","1"
1411,"211 COVE ST","146600","4","2","0"
1412,"434 LIGHTHOUSE RD","160300","4","1","1"
1413,"430 LIGHTHOUSE RD","203400","4","1","0"
1414,"420 LIGHTHOUSE RD","200500","4","2","0"
1415,"416 LIGHTHOUSE RD","186300","3","2","1"
1416,"412 LIGHTHOUSE RD","151200","3","1","1"
1417,"402 LIGHTHOUSE RD","225300","4","2","0"
1418,"392 LIGHTHOUSE RD","151800","3","2","0"
1419,"386 LIGHTHOUSE RD","127100","2","2","0"
1420,"382 LIGHTHOUSE RD","156100","3","1","0"
1421,"376 LIGHTHOUSE RD","158200","4","2","0"
1422,"370 LIGHTHOUSE RD","169200","3","2","0"
1423,"360 LIGHTHOUSE RD","234300","3","3",""
1424,"165 COVE ST","204700","3","1","0"
1425,"171 COVE ST","193100","2","1","0"
1426,"179 COVE ST","338700","3","2","0"
1427,"181 COVE ST","265300","3","2","0"
1428,"197 COVE ST","236400","","",""
1429,"203 COVE ST","243500","5","2","1"
1430,"205 COVE ST","136600","4","1","0"
1431,"207 COVE ST","66500","","",""
1432,"180 MARION ST","60500","","",""
1433,"MARION ST","62700","","",""
1434,"196 MARION ST","57800","","",""
1435,"202 MARION ST","60900","","",""
1436,"206 MARION ST","71200","","",""
1437,"5 MARION ST","60200","","",""
1438,"MARION ST","56300","","",""
1439,"105 MEADOW VIEW ST","216300","3","1","1"
1440,"MARION ST","54000","","",""
1441,"MARION ST","58700","","",""
1442,"179 MARION ST","59800","","",""
1443,"MARION ST","58700","","",""
1444,"187 MARION ST","57800","","",""
1445,"40 MARION ST","58300","","",""
1446,NA,NA,"","",""
1447,"203 MARION ST","66200","","",""
1448,"MARION ST","6200","","",""
1449,"215 MARION ST","61700","","",""
1450,"136 ROAD DAM & CREEK","71000","","",""
1451,"143 MEADOW VIEW ST","199500","3","1","1"
1452,"6 LIGHTHOUSE POINT TER","182700","3","2","0"
1453,"146 ROAD DAM & CREEK","54100","","",""
1454,"CART RD","66500","","",""
1455,"ROAD DAM & CREEK","2100","","",""
1456,"190 CART RD","61900","","",""
1457,"52 CART RD","319100","4","2","0"
1458,"62 CART RD","154900","1","1","0"
1459,"68 CART RD","51700","","",""
1460,"CART RD","53500","","",""
1461,"68 ROAD DAM & CREEK","54200","","",""
1462,"64 ROAD DAM & CREEK","53500","","",""
1463,"10 LIGHTHOUSE POINT TER","207900","4","1","1"
1464,"14 LIGHTHOUSE POINT TER","188100","3","2","0"
1465,"16 LIGHTHOUSE POINT TER","217900","3","1","1"
1466,NA,NA,"3","1","1"
1467,"14 1/2 LIGHTHOUSE POINT TER","278000","4","2","0"
1468,"30 LIGHTHOUSE POINT TER","252300","4","2","1"
1469,"40 LIGHTHOUSE POINT TER","70000","","",""
1470,"150 ROAD DAM & CREEK","72500","","",""
1471,"ROAD DAM & CREEK","57000","","",""
1472,"114 CART RD","209400","4","1","0"
1473,NA,NA,"4","1","0"
1474,"18 ROAD DAM & CREEK","232500","3","2","0"
1475,"75 MEADOW VIEW ST","186000","3","1","0"
1476,"71 MEADOW VIEW ST","167700","3","1","0"
1477,"79 MEADOW VIEW ST","236300","3","2","0"
1478,"120 SOUTH END RD","155400","4","2","0"
1479,"110 SOUTH END RD","148600","3","1","0"
1480,"100 SOUTH END RD","187000","3","2","0"
1481,"90 SOUTH END RD","592600","00","0","0"
1481,"90 SOUTH END RD","592600","3","2","0"
1481,"90 SOUTH END RD","592600","00","5","0"
1482,"21 LIGHTHOUSE POINT TER","191600","2","1","0"
1483,"66 SOUTH END RD","38600","","",""
1484,"SOUTH END RD","39000","","",""
1485,"58 SOUTH END RD","156100","2","2","0"
1486,"44 SOUTH END RD","164000","3","1","0"
1487,"40 SOUTH END RD","43800","","",""
1488,"SOUTH END RD","2100","","",""
1489,"LIGHTHOUSE POINT TER","6000","","",""
1490,"LIGHTHOUSE POINT TER","6000","","",""
1491,"LIGHTHOUSE POINT TER","6000","","",""
1492,"LIGHTHOUSE POINT TER","6500","","",""
1493,"19 LIGHTHOUSE POINT TER","179100","3","1","1"
1494,"11 LIGHTHOUSE POINT TER","178900","2","2","0"
1495,"7 LIGHTHOUSE POINT TER","147200","2","1","0"
1496,"1 CORA ST","731400","00","0","0"
1497,"7 CORA ST","227300","4","2","0"
1498,"11 CORA ST","219200","4","2","0"
1499,"19 CORA ST","191700","3","1","1"
1500,"21 CORA ST","228200","4","1","1"
1501,"27 CORA ST","165900","2","1","0"
1502,"251 LIGHTHOUSE RD","204600","3","2","0"
1503,"257 LIGHTHOUSE RD","155100","2","1","0"
1504,"265 LIGHTHOUSE RD","267400","7","2","0"
1505,"269 LIGHTHOUSE RD","162700","3","1","1"
1506,"273 LIGHTHOUSE RD","117800","2","1","0"
1507,"277 LIGHTHOUSE RD","274700","3","2","0"
1508,"287 LIGHTHOUSE RD","147400","2","1","0"
1509,"293 LIGHTHOUSE RD","223600","3","1","1"
1510,"305 LIGHTHOUSE RD","180900","2","2","0"
1511,"307 LIGHTHOUSE RD","162200","2","1","0"
1512,"311 LIGHTHOUSE RD","207500","3","2","0"
1513,"128 MORRIS AV","178300","4","1","1"
1514,"124 MORRIS AV","211700","2","1","1"
1515,"6 DOTY PL","225900","3","2","1"
1516,"10 DOTY PL","195700","6","2","0"
1517,"16 DOTY PL","153800","2","1","0"
1518,"24 DOTY PL","191400","2","1","1"
1519,"32 DOTY PL","207600","5","2","0"
1520,"18 MARIN RD","200800","3","2","1"
1521,"175 LIGHTHOUSE RD","379100","6","4",""
1522,"105 MORRIS AV","183800","3","2","0"
1523,"9 CLIFFORD TER","178900","4","2","0"
1524,"19 CLIFFORD TER","152600","3","1","0"
1525,"25 CLIFFORD TER","200800","3","1","1"
1526,"128 OCEAN VIEW ST","135100","3","1","0"
1527,"34 SHEPARD AV","267200","3","2","0"
1528,"26 SHEPARD AV","167700","4","2","0"
1529,"20 SHEPARD AV","173600","3","1","1"
1530,"16 SHEPARD AV","207900","3","1","0"
1531,"12 SHEPARD AV","160000","2","1","0"
1532,"4 SHEPARD AV","143400","3","2","0"
1533,"325 LIGHTHOUSE RD","1017500","00","0","0"
1534,"345 LIGHTHOUSE RD","186200","3","1","1"
1535,"347 LIGHTHOUSE RD","227300","2","1","1"
1536,"170 OCEAN VIEW ST","158300","3","1","0"
1537,"164 OCEAN VIEW ST","199300","3","1","0"
1538,"158 OCEAN VIEW ST","175100","3","1","1"
1539,"152 OCEAN VIEW ST","153900","3","1","0"
1540,"OCEAN VIEW ST","5500","","",""
1541,"148 OCEAN VIEW ST","183700","3","1","1"
1542,"140 OCEAN VIEW ST","181400","3","1","1"
1543,"22 CLIFFORD TER","160500","3","1","1"
1544,"14 CLIFFORD TER","167400","3","2","0"
1545,"8 CLIFFORD TER","129800","2","2","0"
1546,"115 MORRIS AV","144800","3","1","0"
1547,"2 CLIFFORD TER","195400","2","1","1"
1548,"117 MORRIS AV","223700","4","2","0"
1549,"121 MORRIS AV","171600","3","1","0"
1550,"123 MORRIS AV","223000","6","3","0"
1551,"7 COVE ST","373300","4","3","1"
1552,"COVE ST","1100","","",""
1553,"11 COVE ST","344400","3","2","1"
1554,"15 COVE ST","190500","2","1","0"
1555,"21 COVE ST","198500","2","2","0"
1556,"29 COVE ST","248400","2","2",""
1557,"37 COVE ST","233700","2","1","0"
1558,"49 COVE ST","213300","1","1","0"
1559,"270 LIGHTHOUSE RD","185100","2","1","1"
1560,"266 LIGHTHOUSE RD","151200","3","1","0"
1561,"262 LIGHTHOUSE RD","151500","4","1","0"
1562,"256 LIGHTHOUSE RD","144400","3","1","0"
1563,"252 LIGHTHOUSE RD","185000","3","1","0"
1564,"246 LIGHTHOUSE RD","167700","3","2","0"
1565,"240 LIGHTHOUSE RD","142800","2","1","1"
1566,"236 LIGHTHOUSE RD","179400","3","2","0"
1567,"234 LIGHTHOUSE RD","133600","2","1","0"
1568,"230 LIGHTHOUSE RD","119800","2","1","0"
1569,"222 LIGHTHOUSE RD","225200","4","1","1"
1570,"8 COVE ST","582800","4","3","0"
1571,"14 COVE ST","497700","3","2","0"
1572,"20 COVE ST","600","","",""
1573,"COVE ST","1200","","",""
1574,"COVE ST","400","","",""
1575,"20 COVE ST","400","","",""
1576,"COVE ST","400","","",""
1577,"COVE ST","400","","",""
1578,"COVE ST","400","","",""
1579,"COVE ST","1000","","",""
1580,"COVE ST","400","","",""
1581,"COVE ST","400","","",""
1582,"COVE ST","400","","",""
1583,"COVE ST","400","","",""
1584,"COVE ST","800","","",""
1585,"20 COVE ST","400","","",""
1586,"COVE ST","400","","",""
1587,"COVE ST","400","","",""
1588,"COVE ST","400","","",""
1589,"COVE ST","400","","",""
1590,"COVE ST","400","","",""
1591,"COVE ST","400","","",""
1592,"COVE ST","400","","",""
1593,"COVE ST","400","","",""
1594,"20 COVE ST","400","","",""
1595,"COVE ST","400","","",""
1596,"20 COVE ST","400","","",""
1597,"COVE ST","400","","",""
1598,"20 COVE ST","400","","",""
1599,"COVE ST","400","","",""
1600,"COVE ST","400","","",""
1601,"COVE ST","400","","",""
1602,"COVE ST","400","","",""
1603,"COVE ST","400","","",""
1604,"20 COVE ST","400","","",""
1605,"20 COVE ST","3200","","",""
1606,"COVE ST","400","","",""
1607,"20 COVE ST","800","","",""
1608,"COVE ST","400","","",""
1609,"20 COVE ST","400","","",""
1610,"20 COVE ST","400","","",""
1611,"20 COVE ST","800","","",""
1612,"COVE ST","400","","",""
1613,"20 COVE ST","2000","","",""
1614,"20 COVE ST","2400","","",""
1615,"24 COVE ST","313000","2","1","1"
1616,"30 COVE ST","324400","4","2","0"
1617,"34 COVE ST","355500","2","2","0"
1618,"38 COVE ST","390900","3","2","1"
1619,"62 COVE ST","1259500","00","0","1"
1619,"62 COVE ST","1259500","00","0","1"
1620,"64 COVE ST","215600","2","2","0"
1621,"70 COVE ST","409800","6","3","0"
1622,"74 COVE ST","305300","2","1","1"
1623,"78 COVE ST","374100","6","3","0"
1624,"82 COVE ST","438300","4","2","0"
1625,"88 COVE ST #A","251900","2","1","1"
1626,"88 COVE ST #B","129900","1","1","0"
1627,"86 COVE ST #A","251900","2","1","1"
1628,"86 COVE ST #B","99400","1","1","0"
1629,"94 COVE ST","299300","2","2","0"
1630,"104 COVE ST","404100","5","3","0"
1631,"176 MORRIS AV","388300","4","1","0"
1632,"19 RHEA ST","254300","4","1","1"
1633,"75 COVE ST","481200","2","2","1"
1634,NA,NA,"2","2","1"
1635,NA,NA,"2","2","1"
1636,"81 COVE ST","100400","3","1","1"
1637,"87 COVE ST","94900","","",""
1638,"93 COVE ST","233400","4","2","1"
1639,"103 COVE ST","248300","5","3","0"
1640,"312 LIGHTHOUSE RD","252700","3","2","1"
1641,"310 LIGHTHOUSE RD","152800","2","1","1"
1642,"308 LIGHTHOUSE RD","175000","3","1","1"
1643,"300 LIGHTHOUSE RD","117000","2","1","0"
1644,"296 LIGHTHOUSE RD","146400","4","2","0"
1645,"290 LIGHTHOUSE RD","199000","3","2","0"
1646,"284 LIGHTHOUSE RD","127600","1","1","0"
1647,"280 LIGHTHOUSE RD","195900","6","2","0"
1648,"11 RHEA ST","188500","5","2","1"
1649,"DOTY PL","67700","","",""
1650,"9 DOTY PL","182900","3","2","0"
1651,"7 DOTY PL","168500","1","2","0"
1652,"5 DOTY PL","145400","2","1","0"
1653,"1 DOTY PL","138600","2","1","1"
1654,"MORRIS AV","5400","","",""
1655,"100 MORRIS AV","173900","2","1","0"
1656,NA,NA,"2","1","0"
1657,"92 MORRIS AV","177800","3","1","0"
1658,"88 MORRIS AV","171800","3","2","0"
1659,"MARIN RD","59800","","",""
1660,"MARIN RD","5900","","",""
1661,"MARIN RD","5700","","",""
1662,"MARIN RD","5600","","",""
1663,"MARIN RD","5600","","",""
1664,"80 MORRIS AV","181800","4","2","0"
1665,"76 MORRIS AV","149300","4","2","0"
1666,"70 MORRIS AV","56000","","",""
1667,"66 MORRIS AV","182300","2","1","1"
1668,"58 MORRIS AV","185200","2","2","0"
1669,"54 MORRIS AV","214800","3","2","0"
1670,"48 MORRIS AV","150900","3","1","0"
1671,"46 MORRIS AV","166700","3","1","1"
1672,"44 MORRIS AV","204100","2","2","0"
1673,"40 MORRIS AV","158200","2","1","1"
1674,"36 MORRIS AV","135700","2","1","0"
1675,"32 MORRIS AV","132400","2","1","0"
1676,"28 MORRIS AV","147900","2","1","0"
1677,"24 MORRIS AV","143200","2","1","0"
1678,"16 MORRIS AV","134900","2","1","0"
1679,"3 MEADOW VIEW ST","188100","3","2","0"
1680,"9 MEADOW VIEW ST","150200","2","1","0"
1681,"15 MEADOW VIEW ST","142200","2","1","0"
1682,"MORRIS AV","57000","","",""
1683,"17 ORCHARD AV","185600","6","2","0"
1684,"7 ORCHARD AV","216200","4","2","0"
1685,"72 OCEAN VIEW ST","137100","2","1","1"
1686,"66 OCEAN VIEW ST","126000","2","1","0"
1687,"10 MEADOW VIEW ST","124000","2","1","0"
1688,"33 MORRIS AV","193600","3","2","0"
1689,"39 MORRIS AV","160400","2","1","0"
1690,"45 MORRIS AV","160900","3","1","1"
1691,"71 MORRIS AV","195900","3","2","0"
1692,"15 SHEPARD AV","184400","3","2","0"
1693,"19 SHEPARD AV","141000","3","1","0"
1694,"25 SHEPARD AV","212600","2","2","0"
1695,"104 OCEAN VIEW ST","176400","3","1","0"
1696,"94 OCEAN VIEW ST","175400","2","1","0"
1697,"16 ORCHARD AV","184800","3","1","0"
1698,"20 ORCHARD AV","151700","2","2","0"
1699,"59 MORRIS AV","209900","3","1","1"
1700,"69 MORRIS AV","134800","2","1","0"
1701,"103 OCEAN VIEW ST","228600","3","1","1"
1702,"61 SHEPARD AV","240900","3","2","1"
1703,"SHEPARD AV","4300","","",""
1704,"86 MEADOW VIEW ST","174700","2","1","0"
1705,"74 MEADOW VIEW ST","226000","3","2","0"
1706,"63 OCEAN VIEW ST","384200","5","4","0"
1707,"79 OCEAN VIEW ST","166700","3","1","0"
1708,"83 OCEAN VIEW ST","176500","3","2","0"
1709,"87 OCEAN VIEW ST","218300","3","2","1"
1710,"95 OCEAN VIEW ST","226900","3","2","0"
1711,"38 MORRIS AV","56400","","",""
1712,"MARION ST","62600","","",""
1713,"MARION ST","61400","","",""
1714,"160 MARION ST","60900","","",""
1715,"156 MARION ST","60000","","",""
1716,"152 MARION ST","63500","","",""
1717,"115 MORRIS CREEK & DY","2600","","",""
1718,"MORRIS CREEK & DY","6700","","",""
1719,"MORRIS CREEK & DY","100200","","",""
1720,"10 MORRIS AV","267500","2","3","0"
1721,"23 MEADOW VIEW ST","232600","3","2","0"
1722,"175 MARION ST","61400","","",""
1723,"MARION ST","62900","","",""
1724,"165 MARION ST","60900","","",""
1725,"159 MARION ST","56900","","",""
1726,"81 MORRIS CREEK & DY","62300","","",""
1727,"89 MORRIS CREEK & DY","55200","","",""
1728,"93 MORRIS CREEK & DY","55900","","",""
1729,"99 MORRIS CREEK & DY","61500","","",""
1730,"101 MORRIS CREEK & DY","57400","","",""
1731,"155 MARION ST","55400","","",""
1732,"149 MARION ST","53800","","",""
1733,"21 LIGHTHOUSE RD","32898400","00","0","0"
1733,"21 LIGHTHOUSE RD","32898400","00","0","0"
1733,"21 LIGHTHOUSE RD","32898400","00","0","0"
1733,"21 LIGHTHOUSE RD","32898400","3","1","0"
1734,"6 RAYNHAM RD","184500","3","1","1"
1735,"307 WOODWARD AV","224900","3","1","0"
1736,"315 WOODWARD AV","164200","2","1","0"
1737,"321 WOODWARD AV","157900","2","1","0"
1738,"327 WOODWARD AV","184200","3","1","1"
1739,"333 WOODWARD AV","180300","4","3","0"
1740,"337 WOODWARD AV","251900","3","2","0"
1741,"TUTTLE ST","4800","","",""
1742,"196 KNEELAND RD","175200","3","1","0"
1743,"19 TUTTLE ST","218300","4","2","1"
1744,"190 KNEELAND RD","189600","3","1","1"
1745,"184 KNEELAND RD","176000","3","1","1"
1746,"176 KNEELAND RD","195000","2","1","1"
1747,"170 KNEELAND RD","202300","2","1","1"
1748,"164 KNEELAND RD","316300","4","1","1"
1749,"34 RAYNHAM RD","244100","3","1","1"
1750,"26 RAYNHAM RD","300500","3","2","0"
1751,"20 RAYNHAM RD","300800","4","2","2"
1752,"12 RAYNHAM RD","196600","3","1","1"
1753,"50 RAYNHAM RD","305700","4","2","0"
1754,"165 KNEELAND RD","190900","3","1","1"
1755,"173 KNEELAND RD","221100","3","2","0"
1756,"179 KNEELAND RD","157400","2","1","0"
1757,"185 KNEELAND RD","208000","3","2","0"
1758,"191 KNEELAND RD","205300","3","1","1"
1759,"197 KNEELAND RD","248100","4","2","0"
1760,"203 KNEELAND RD","202000","3","1","0"
1761,"774 TOWNSEND AV","211000","3","1","1"
1762,"766 TOWNSEND AV","252400","5","2","0"
1763,"760 TOWNSEND AV","224600","3","1","1"
1764,"752 TOWNSEND AV","314100","2","2","0"
1765,"744 TOWNSEND AV","226400","3","1","1"
1766,"738 TOWNSEND AV","451500","4","2","0"
1767,"720 TOWNSEND AV","528200","3","3","1"
1768,"54 RAYNHAM RD","199900","2","1","0"
1769,"10 TUTTLE ST","190600","3","1","1"
1770,"363 WOODWARD AV","140500","3","1","0"
1771,"367 WOODWARD AV","195800","3","1","0"
1772,"375 WOODWARD AV","189700","3","1","1"
1773,"383 WOODWARD AV","310400","3","2","1"
1774,"393 WOODWARD AV","165600","3","1","1"
1775,"399 WOODWARD AV","135000","3","1","0"
1776,"405 WOODWARD AV","182600","3","2","0"
1777,"411 WOODWARD AV","171300","2","1","0"
1778,"415 WOODWARD AV","140300","2","1","0"
1779,"421 WOODWARD AV","145800","2","1","0"
1780,"429 WOODWARD AV","156800","3","1","0"
1781,"3 UPSON TER","179400","2","1","1"
1782,"11 UPSON TER","179700","3","1","1"
1783,"294 KNEELAND RD","217500","4","1","1"
1784,"290 KNEELAND RD","190200","2","1","0"
1785,"280 KNEELAND RD","173400","2","1","0"
1786,"276 KNEELAND RD","217400","3","1","0"
1787,"270 KNEELAND RD","203900","3","1","1"
1788,"264 KNEELAND RD","188400","3","1","1"
1789,"258 KNEELAND RD","198500","3","1","1"
1790,"252 KNEELAND RD","206000","3","1","1"
1791,"246 KNEELAND RD","169100","3","1","1"
1792,"240 KNEELAND RD","208300","3","1","1"
1793,"234 KNEELAND RD","196000","3","1","1"
1794,"228 KNEELAND RD","199700","3","1","1"
1795,"222 KNEELAND RD","174300","3","1","1"
1796,"214 KNEELAND RD","189000","4","1","1"
1797,"16 TUTTLE ST","201900","3","1","1"
1798,"215 KNEELAND RD","183400","3","1","1"
1799,"223 KNEELAND RD","167800","2","1","0"
1800,"229 KNEELAND RD","230500","2","2","1"
1801,"241 KNEELAND RD","179600","3","1","1"
1802,"245 KNEELAND RD","174200","1","1","0"
1803,"249 KNEELAND RD","148400","2","2","0"
1804,"253 KNEELAND RD","171200","3","2","0"
1805,"259 KNEELAND RD","194600","3","1","0"
1806,"265 KNEELAND RD","196200","2","2","0"
1807,"271 KNEELAND RD","142100","3","1","0"
1808,"277 KNEELAND RD","176800","2","1","1"
