"pid","location","totval"
186,"675 TOWNSEND AV #184",154200
187,"675 TOWNSEND AV #185",172100
188,"675 TOWNSEND AV #176",111600
189,"675 TOWNSEND AV #177",153500
190,"675 TOWNSEND AV #172",143000
191,"675 TOWNSEND AV #173",153200
192,"675 TOWNSEND AV #174",152600
193,"675 TOWNSEND AV #175",109600
194,"675 TOWNSEND AV #152",119300
195,"675 TOWNSEND AV #153",150600
196,"675 TOWNSEND AV #148",157400
197,"675 TOWNSEND AV #149",150700
198,"675 TOWNSEND AV #150",150700
199,"675 TOWNSEND AV #151",125200
200,"675 TOWNSEND AV #144",157400
201,"675 TOWNSEND AV #145",150700
202,"675 TOWNSEND AV #146",150700
203,"675 TOWNSEND AV #147",159500
204,"675 TOWNSEND AV #128",184300
205,"675 TOWNSEND AV #129",150700
206,"675 TOWNSEND AV #130",150700
207,"675 TOWNSEND AV #131",184300
208,"675 TOWNSEND AV #126",155800
209,"675 TOWNSEND AV #127",199300
210,"675 TOWNSEND AV #122",191000
211,"675 TOWNSEND AV #123",150700
212,"675 TOWNSEND AV #124",170400
213,"675 TOWNSEND AV #125",191100
214,"675 TOWNSEND AV #112",175400
215,"675 TOWNSEND AV #113",150700
216,"675 TOWNSEND AV #114",150700
217,"675 TOWNSEND AV #115",191000
218,"675 TOWNSEND AV #108",172100
219,"675 TOWNSEND AV #109",155900
220,"675 TOWNSEND AV #110",156600
221,"675 TOWNSEND AV #111",192900
222,"675 TOWNSEND AV #104",210900
223,"675 TOWNSEND AV #105",167800
224,"675 TOWNSEND AV #106",155600
225,"675 TOWNSEND AV #107",166800
226,"675 TOWNSEND AV #101",203900
227,"675 TOWNSEND AV #102",166800
228,"675 TOWNSEND AV #103",203900
229,"108 LAURA LA",8200
230,"102 LAURA LA",146900
231,"96 LAURA LA",131800
232,"LAURA LA",3200
233,"LAURA LA",5200
234,"86 LAURA LA",150700
235,"80 LAURA LA",140700
236,"76 LAURA LA",140200
237,"72 LAURA LA",155800
238,"68 LAURA LA",162200
239,"62 LAURA LA",166100
240,"56 LAURA LA",154800
241,"50 LAURA LA",151600
242,"46 LAURA LA",242300
243,"42 LAURA LA",179500
244,"38 LAURA LA",163800
245,"32 LAURA LA",153000
246,"24 LAURA LA",179100
247,"16 LAURA LA",152200
248,"10 LAURA LA",143300
249,"4 LAURA LA",135200
250,"115 LAURA LA",10200
251,"107 LAURA LA",142600
252,"101 LAURA LA",154200
253,"95 LAURA LA",152400
254,"87 LAURA LA",137200
255,"81 LAURA LA",152600
256,"35 LAURA LA",161200
257,"29 LAURA LA",151000
258,"23 LAURA LA",156600
259,"17 LAURA LA",153000
260,"11 LAURA LA",150100
261,"5 LAURA LA",105100
262,"159 HUNTINGTON RD",3300
263,"157 HUNTINGTON RD",3000
264,"151 HUNTINGTON RD",305400
265,"155 HUNTINGTON RD",303500
266,"145 HUNTINGTON RD",183200
267,"137 HUNTINGTON RD",168700
268,"129 HUNTINGTON RD",179800
269,"123 HUNTINGTON RD",197300
270,"115 HUNTINGTON RD",227600
271,"107 HUNTINGTON RD",175100
272,"99 HUNTINGTON RD",168600
273,"91 HUNTINGTON RD",178100
274,"83 HUNTINGTON RD",156900
275,"75 HUNTINGTON RD",182700
276,"65 HUNTINGTON RD",178800
277,"44 ELIZABETH ANN DR",151200
278,"52 ELIZABETH ANN DR",142600
279,"56 ELIZABETH ANN DR",126300
280,"60 ELIZABETH ANN DR",166500
281,"66 ELIZABETH ANN DR",169900
282,"CHARTER OAK AV",5000
283,"CHARTER OAK AV",5000
284,"CHARTER OAK AV",6300
285,"CHARTER OAK AV",5000
286,"CHARTER OAK AV",5000
287,"CHARTER OAK AV",5000
288,"125 HUNTINGTON RD",5000
289,"CHARTER OAK AV",5000
290,"CHARTER OAK AV",5000
291,"4 HUGHES ST EX",145700
292,"8 HUGHES ST EX",153300
293,"72 ELIZABETH ANN DR",140800
294,"78 ELIZABETH ANN DR",133200
295,"84 ELIZABETH ANN DR",144300
296,"88 ELIZABETH ANN DR",168600
297,"94 ELIZABETH ANN DR",163400
298,"100 ELIZABETH ANN DR",146700
299,"104 ELIZABETH ANN DR",147700
300,"110 ELIZABETH ANN DR",144600
301,"118 ELIZABETH ANN DR",159000
302,"124 ELIZABETH ANN DR",162200
303,"132 ELIZABETH ANN DR",148700
304,"138 ELIZABETH ANN DR",232200
305,"146 ELIZABETH ANN DR",169600
306,"5 MASSACHUSETTS AV",226500
307,"11 MASSACHUSETTS AV",212200
308,"MASSACHUSETTS AV",3200
309,"75 ELIZABETH ANN DR",142700
310,"55 ELIZABETH ANN DR",173800
311,"49 ELIZABETH ANN DR",146000
312,"41 ELIZABETH ANN DR",136200
313,"35 ELIZABETH ANN DR",120900
314,"29 ELIZABETH ANN DR",125800
315,"21 ELIZABETH ANN DR",162800
316,"15 ELIZABETH ANN DR",152800
317,"7 ELIZABETH ANN DR",132400
318,"CLARENDON ST",40100
319,"147 ELIZABETH ANN DR",151700
320,"141 ELIZABETH ANN DR",172300
321,"131 ELIZABETH ANN DR",146900
322,"125 ELIZABETH ANN DR",143100
323,"117 ELIZABETH ANN DR",135500
324,"103 ELIZABETH ANN DR",156100
325,"109 ELIZABETH ANN DR",133700
326,"83 ELIZABETH ANN DR",138700
327,"53 HUNTINGTON RD",158400
328,"41 HUNTINGTON RD",205800
329,"37 HUNTINGTON RD",148400
330,"29 HUNTINGTON RD",157600
331,"23 HUNTINGTON RD",212100
332,NA,NA
333,"87 CLARENDON ST",181300
334,"95 CLARENDON ST",191800
335,"105 CLARENDON ST",174000
336,"8 ELIZABETH ANN DR",127500
337,"18 ELIZABETH ANN DR",126800
338,"28 ELIZABETH ANN DR",128700
339,"32 ELIZABETH ANN DR",126100
340,"821 TOWNSEND AV",298200
341,"29 SOUND VIEW TER",165400
342,"39 SOUND VIEW TER",187400
343,"49 SOUND VIEW TER",189800
344,"59 SOUND VIEW TER",198500
345,"75 SOUND VIEW TER",212000
346,"85 SOUND VIEW TER",201500
347,"95 SOUND VIEW TER",193100
348,"105 SOUND VIEW TER",162300
349,"115 SOUND VIEW TER",173500
350,"125 SOUND VIEW TER",147500
351,"135 SOUND VIEW TER",158400
352,"145 SOUND VIEW TER",218800
353,"4 HORSLEY AV",200400
354,"2 HORSLEY AV",146100
355,"HORSLEY AV",400
356,"TUTTLE DR",200
357,"174 TUTTLE DR",230400
358,"168 TUTTLE DR",241900
359,"160 TUTTLE DR",251400
360,"150 TUTTLE DR",210000
361,"144 TUTTLE DR",213500
362,"136 TUTTLE DR",200100
363,"128 TUTTLE DR",223100
364,"120 TUTTLE DR",207900
365,"112 TUTTLE DR",298700
366,"104 TUTTLE DR",244600
367,"785 TOWNSEND AV",239900
368,"795 TOWNSEND AV",220700
369,"801 TOWNSEND AV",237400
370,"TOWNSEND AV",6200
371,"809 TOWNSEND AV",243800
372,"91 HORSLEY AV",198700
373,"265 UPSON TER",163100
374,"285 UPSON TER",188400
375,"40 HOPKINS DR",336300
376,"30 HOPKINS DR",162700
377,"22 HOPKINS DR",229300
378,"14 HOPKINS DR",207300
379,"8 HOPKINS DR",217000
380,"4 HOPKINS DR",344200
381,"HORSLEY AV",300
382,"1 HORSLEY AV",201200
383,"5 HORSLEY AV",263000
384,"11 HORSLEY AV",223300
385,"35 HORSLEY AV",205500
386,"45 HORSLEY AV",200700
387,"61 HORSLEY AV",182500
388,"75 HORSLEY AV",189000
389,"305 UPSON TER",349600
390,"335 UPSON TER",267400
391,"112 HUNTINGTON RD",173200
392,"120 HUNTINGTON RD",229900
393,"128 HUNTINGTON RD",165100
394,"136 HUNTINGTON RD",194100
395,"144 HUNTINGTON RD",201900
396,"150 HUNTINGTON RD",243500
397,"160 HUNTINGTON RD",264600
398,"HOPKINS DR",5200
399,"3 HOPKINS DR",357800
400,"5 HOPKINS DR",194100
401,"15 HOPKINS DR",204200
402,"19 HOPKINS DR",192500
403,"25 HOPKINS DR",209100
404,"39 HOPKINS DR",247100
405,"873 TOWNSEND AV",196200
406,"131 UPSON TER",247900
407,"20 LEROY TER",163800
408,"16 LEROY TER",272200
409,"60 SOUND VIEW TER",171100
410,"44 SOUND VIEW TER",261800
411,"30 SOUND VIEW TER",175300
412,"835 TOWNSEND AV",200100
413,"845 TOWNSEND AV",262800
414,"853 TOWNSEND AV",220200
415,"LEROY TER",500
416,"155 UPSON TER",172500
