"pid","location","totval"
4316,"90 MOUNTAIN TOP LA",192100
4317,"539 RUSSELL ST",147900
4318,"545 RUSSELL ST",116000
4319,"21 KINGSWOOD DR",177300
4320,"551 RUSSELL ST",109900
4321,"29 KINGSWOOD DR",142800
4322,"41 KINGSWOOD DR",161900
4323,"30 LEILA ST",129100
4324,"15 HIGHVIEW LA",158700
4325,"6 SKYVIEW LA",147800
4326,"20 SKYVIEW LA",176700
4327,"40 MOUNTAIN TOP LA",167500
4328,"38 MOUNTAIN TOP LA",152900
4329,"32 MOUNTAIN TOP LA",150000
4330,"22 MOUNTAIN TOP LA",151600
4331,"14 MOUNTAIN TOP LA",141200
4332,"41 HIGHVIEW LA",171900
4333,"33 HIGHVIEW LA",165100
4334,"23 HIGHVIEW LA",143000
4335,"73 HIGHVIEW LA",137900
4336,"67 HIGHVIEW LA",138900
4337,"59 HIGHVIEW LA",154600
4338,"7 MOUNTAIN TOP LA",150100
4339,"15 MOUNTAIN TOP LA",192700
4340,"50 LEGEND LA",214200
4341,"20 SLEEPY HOLLOW CIR #4",166700
4342,"30 SLEEPY HOLLOW CIR #5",172100
4343,"51 LEGEND LA",184200
4344,"59 LEGEND LA",172100
4345,"56 LEGEND LA",220700
4346,"29 MOUNTAIN TOP LA",151300
4347,"37 MOUNTAIN TOP LA",134200
4348,"43 MOUNTAIN TOP LA",181600
4349,"51 MOUNTAIN TOP LA",135900
4350,"57 MOUNTAIN TOP LA",157100
4351,"65 MOUNTAIN TOP LA",159200
4352,"71 MOUNTAIN TOP LA",139100
4353,"77 MOUNTAIN TOP LA",168900
4354,"VENICE PL",27400
4355,"81 MOUNTAIN TOP LA",198700
4356,"85 MOUNTAIN TOP LA",183500
4357,"89 MOUNTAIN TOP LA",197900
4358,NA,NA
4359,"97 MOUNTAIN TOP LA",39400
4360,"103 MOUNTAIN TOP LA",40400
4361,"44 VENICE PL",42500
4362,"50 VENICE PL",152800
4363,"58 VENICE PL",21000
4364,"66 VENICE PL",3700
4365,"VENICE PL",3600
4366,"10 HIGHVIEW LA",129300
4367,"20 HIGHVIEW LA",119000
4368,"26 HIGHVIEW LA",128700
4369,"32 HIGHVIEW LA",111200
4370,"38 HIGHVIEW LA",114300
4371,"44 HIGHVIEW LA",131000
4372,"50 HIGHVIEW LA",114900
4373,"56 HIGHVIEW LA",122900
4374,"64 HIGHVIEW LA",117900
4375,"70 HIGHVIEW LA",129700
4376,NA,NA
4377,"345 SUMMIT ST",198900
4378,"337 SUMMIT ST",272400
4379,"190 EAST GRAND AV",151000
4380,NA,NA
4381,"353 SUMMIT ST",245100
4382,"357 SUMMIT ST",153700
4383,"365 SUMMIT ST",133300
4384,"371 SUMMIT ST",148000
4385,"381 SUMMIT ST",159100
4386,"389 SUMMIT ST",125000
4387,"395 SUMMIT ST",223900
4388,"19 ROBERTSON ST",159300
4389,"25 ROBERTSON ST",162100
4390,"50 CARROLL ST",165700
4391,"40 CARROLL ST",190700
4392,"36 CARROLL ST",148000
4393,"20 CARROLL ST",197700
4394,NA,NA
4395,"SUMMIT ST",2700
4396,"228 EAST GRAND AV",132200
4397,"214 EAST GRAND AV",130100
4398,"212 EAST GRAND AV",123600
4399,"15 CARROLL ST",39400
4400,"21 CARROLL ST",147300
4401,"25 CARROLL ST",38000
4402,"CARROLL ST",38000
4403,"39 CARROLL ST",182300
4404,"55 CARROLL ST",177700
4405,"67 CARROLL ST",105600
4406,"231 CLIFTON ST",97700
4407,"237 CLIFTON ST",176400
4408,"243 CLIFTON ST",125300
4409,"261 CLIFTON ST",139500
4410,"265 CLIFTON ST",132400
4411,"628 RUSSELL ST",181100
4412,"618 RUSSELL ST",175400
4413,"LINCOLN AV",3700
4414,"LINCOLN AV",3700
4415,"LINCOLN AV",3700
4416,"LINCOLN AV",3700
4417,"LINCOLN AV",3700
4418,"30 LINCOLN AV",3700
4419,"LINCOLN AV",3700
4420,"34 LINCOLN AV",3700
4421,"LINCOLN AV",3700
4422,"LINCOLN AV",3700
4423,"49 LINCOLN AV",3700
4424,"LINCOLN AV",3700
4425,"LINCOLN AV",3700
4426,"55 LINCOLN AV",3600
4427,"57 LINCOLN AV",3700
4428,"59 LINCOLN AV",3800
4429,"608 RUSSELL ST",142300
4430,"598 RUSSELL ST",125200
4431,"590 RUSSELL ST",134600
4432,"40 PARKER AV",3800
4433,"42 PARKER AV",3700
4434,"PARKER AV",3700
4435,"46 PARKER AV",3700
4436,"PARKER AV",3700
4437,"50 PARKER AV",3700
4438,"54 PARKER AV",3800
4439,"576 RUSSELL ST",155100
4440,"RUSSELL ST",3800
4441,"570 RUSSELL ST",123800
4442,"RUSSELL ST",4300
4443,"564 RUSSELL ST",118900
4444,"558 RUSSELL ST",106100
4445,"552 RUSSELL ST",120500
4446,"RUSSELL ST",4100
4447,"548 RUSSELL ST",4100
4448,"RUSSELL ST",3800
4449,"514 RUSSELL ST",3700
4450,"546 RUSSELL ST",118600
4451,"RUSSELL ST",4200
4452,"540 RUSSELL ST",131900
4453,"528 RUSSELL ST",126500
4454,"RUSSELL ST",4000
4455,"524 RUSSELL ST",126700
4456,"520 RUSSELL ST",3700
4457,"518 RUSSELL ST",151200
4458,"512 RUSSELL ST",145500
4459,"508 RUSSELL ST",116700
4460,"502 RUSSELL ST",188600
4461,"498 RUSSELL ST",178700
4462,"492 RUSSELL ST",166000
4463,"272 EAST GRAND AV",166700
4464,"266 EAST GRAND AV",147800
4465,"260 EAST GRAND AV",194200
4466,"254 EAST GRAND AV",135500
4467,"252 EAST GRAND AV",3700
4468,"141 CLIFTON ST",277200
4469,"151 CLIFTON ST",300300
4470,"159 CLIFTON ST",145500
4471,"181 CLIFTON ST",4677500
4472,"95 CARROLL ST",235600
4473,"CARROLL ST",3600
4474,"85 CARROLL ST",38000
4475,"44 ROBERTSON ST",141300
4476,"30 ROBERTSON ST",126400
4477,"24 ROBERTSON ST",123200
4478,"22 ROBERTSON ST",116600
4479,"255 LEXINGTON AV",112700
4480,"257 LEXINGTON AV",175500
4481,"265 LEXINGTON AV",254800
4482,"277 LEXINGTON AV",135000
4483,"283 LEXINGTON AV",176600
4484,"15 HOWARD ST",208500
4485,"25 HOWARD ST",202400
4486,"35 HOWARD ST",148400
4487,"43 HOWARD ST",158200
4488,"53 HOWARD ST",185300
4489,"73 HOWARD ST",41600
4490,"109 HOWARD ST",160400
4491,"264 SUMMIT ST",162600
4492,"256 SUMMIT ST",196700
4493,"254 SUMMIT ST",228600
4494,"40 ELDRIDGE ST",23400
4495,"HOWARD ST",4700
4496,"14 ELDRIDGE ST",184000
4497,"10 ELDRIDGE ST",145800
4498,"6 ELDRIDGE ST",177800
4499,NA,NA
4500,"4 ELDRIDGE ST",202600
4501,"291 LEXINGTON AV",162100
4502,"297 LEXINGTON AV",146200
4503,"303 LEXINGTON AV",179700
4504,"317 LEXINGTON AV",181900
4505,"321 LEXINGTON AV",153200
4506,"323 LEXINGTON AV",291500
4507,"335 LEXINGTON AV #1",41600
4508,"335 LEXINGTON AV #2",41600
4509,"335 LEXINGTON AV #3",41600
4510,"339 LEXINGTON AV",145700
4511,"105 EAST GRAND AV",176300
4512,"115 EAST GRAND AV #1",72500
4513,"115 EAST GRAND AV #2",73500
4514,"115 EAST GRAND AV #3",72500
4515,"115 EAST GRAND AV #4",72500
4516,"115 EAST GRAND AV #5",73500
4517,"131 EAST GRAND AV",153500
4518,"133 EAST GRAND AV",229500
4519,"50 SHERLAND AV",177800
4520,"44 SHERLAND AV",173700
4521,"38 SHERLAND AV",152400
4522,"30 SHERLAND AV",195500
4523,"24 SHERLAND AV",175500
4524,"20 HOWARD ST",175200
4525,"10 HOWARD ST",145800
4526,"54 HOWARD ST",204900
4527,"15 SHERLAND AV",210100
4528,"62 HOWARD ST",205000
4529,"23 SHERLAND AV",181500
4530,"35 SHERLAND AV",228400
4531,"45 SHERLAND AV",227100
4532,"59 SHERLAND AV",199200
4533,"171 EAST GRAND AV",157400
4534,"169 EAST GRAND AV",148500
4535,"322 SUMMIT ST",116800
4536,"318 SUMMIT ST",119200
4537,"312 SUMMIT ST",130800
4538,"304 SUMMIT ST",137900
4539,"298 SUMMIT ST",231300
4540,"294 SUMMIT ST",184900
4541,"280 SUMMIT ST",152800
4542,"70 HOWARD ST",152000
4543,"373 LEXINGTON AV",850000
4544,"391 LEXINGTON AV",110800
4545,"401 LEXINGTON AV",203800
4546,"75 CLIFTON ST",185700
4547,"112 SHERLAND AV",118300
4548,"106 SHERLAND AV",171400
4549,"102 SHERLAND AV",83800
4550,"98 SHERLAND AV",164900
4551,"94 SHERLAND AV",154400
4552,"90 SHERLAND AV",175700
4553,"86 SHERLAND AV",186100
4554,"74 SHERLAND AV",130700
4555,"128 EAST GRAND AV",26800
4556,"120 EAST GRAND AV",138100
4557,"71 SHERLAND AV",147500
4558,"81 SHERLAND AV",146300
4559,"85 SHERLAND AV",147200
4560,"89 SHERLAND AV",549700
4561,"91 SHERLAND AV",175600
4562,"99 SHERLAND AV",157000
4563,"99 CLIFTON ST",152200
4564,"111 CLIFTON ST",173900
4565,"394 SUMMIT ST",132800
4566,"386 SUMMIT ST",152200
4567,"380 SUMMIT ST",126900
4568,"376 SUMMIT ST",137600
4569,"368 SUMMIT ST",139100
4570,"360 SUMMIT ST",153200
4571,"356 SUMMIT ST",171900
4572,"350 SUMMIT ST",176000
4573,"342 SUMMIT ST",176400
4574,"154 EAST GRAND AV",345000
4575,"560 QUINNIPIAC AV",196600
4576,"576 QUINNIPIAC AV",363300
4577,"620 QUINNIPIAC AV",230900
4578,"624 QUINNIPIAC AV",190200
4579,NA,NA
4580,"630 QUINNIPIAC AV #630",137200
4581,"632 QUINNIPIAC AV #632",162100
4582,"634 QUINNIPIAC AV #634A",155300
4583,"634 QUINNIPIAC AV #634B",167300
4584,"636 QUINNIPIAC AV #636",184900
4585,"638 QUINNIPIAC AV #638",133000
4586,"636 QUINNIPIAC AV #GAR",11600
4587,NA,NA
4588,"640 QUINNIPIAC AV",199200
4589,"646 QUINNIPIAC AV",219300
4590,NA,NA
4591,"670 QUINNIPIAC AV",212200
4592,"672 QUINNIPIAC AV",212200
4593,"674 QUINNIPIAC AV",212500
4594,"676 QUINNIPIAC AV",212200
4595,"650 QUINNIPIAC AV",149800
4596,"652 QUINNIPIAC AV",149400
4597,"654 QUINNIPIAC AV",39600
4598,"656 QUINNIPIAC AV",39600
4599,"658 QUINNIPIAC AV",156300
4600,"660 QUINNIPIAC AV",154700
4601,"662 QUINNIPIAC AV #B-1",190600
4602,"664 QUINNIPIAC AV #B-2",194700
4603,"666 QUINNIPIAC AV #B-3",190600
4604,"668 QUINNIPIAC AV #B-4",194200
4605,"561 QUINNIPIAC AV",165300
4606,"565 QUINNIPIAC AV",99500
4607,"571 QUINNIPIAC AV",173900
4608,"577 QUINNIPIAC AV",158300
4609,"583 QUINNIPIAC AV",173900
4610,"589 QUINNIPIAC AV",202900
4611,"595 QUINNIPIAC AV",165200
4612,"603 QUINNIPIAC AV",173200
4613,"609 QUINNIPIAC AV",92800
4614,"621 QUINNIPIAC AV",179100
4615,"9 WELCOME ST",206000
4616,"15 WELCOME ST",123800
4617,"296 LENOX ST",224900
4618,"290 LENOX ST",144500
4619,"286 LENOX ST",164300
4620,"280 LENOX ST",203800
4621,"274 LENOX ST",138600
4622,"270 LENOX ST",155400
4623,"264 LENOX ST",263900
4624,"250 LENOX ST",134100
4625,"238 LENOX ST",165900
4626,"241 LENOX ST",120100
4627,"LENOX ST",1100
4628,"257 LENOX ST",164700
4629,"259 LENOX ST",167700
4630,"LENOX ST",900
4631,"261 LENOX ST",181600
4632,"265 LENOX ST",127600
4633,"LENOX ST",3300
4634,"LENOX ST",2400
4635,"267 LENOX ST",140200
4636,"271 LENOX ST",154500
4637,"279 LENOX ST",173800
4638,"285 LENOX ST",255900
4639,"291 LENOX ST",165100
4640,"299 LENOX ST",160600
4641,"305 LENOX ST",183300
4642,"315 LENOX ST",182900
4643,"321 LENOX ST",173800
4644,"325 LENOX ST",192900
4645,"73 EAST GRAND AV",603400
4646,"83 EAST GRAND AV",566400
4647,"EAST GRAND AV",36100
4648,"344 LEXINGTON AV",148400
4649,"320 LEXINGTON AV",202700
4650,"312 LEXINGTON AV",135900
4651,"302 LEXINGTON AV",199700
4652,"LEXINGTON AV",2200
4653,"LEXINGTON AV",3700
4654,"LEXINGTON AV",27100
4655,"LEXINGTON AV",3300
4656,"292 LEXINGTON AV",165800
4657,"288 LEXINGTON AV",165700
4658,"286 LEXINGTON AV",136100
4659,"282 LEXINGTON AV",154900
4660,"274 LEXINGTON AV",179900
4661,"270 LEXINGTON AV",177700
4662,"54 ANER ST",140600
4663,"52 ANER ST",109600
4664,"48 ANER ST",154800
4665,"627 QUINNIPIAC AV",183200
4666,"635 QUINNIPIAC AV",138400
4667,"641 QUINNIPIAC AV",182300
4668,"645 QUINNIPIAC AV",164300
4669,"651 QUINNIPIAC AV",147900
4670,"655 QUINNIPIAC AV",176300
4671,"661 QUINNIPIAC AV",268000
4672,"61 EAST GRAND AV",264800
4673,"69 EAST GRAND AV",1593500
4674,"320 LENOX ST",143200
4675,"314 LENOX ST",141500
4676,"310 LENOX ST",155000
4677,"28 WELCOME ST",186300
4678,"22 WELCOME ST",185200
4679,"16 WELCOME ST",125100
4680,"12 WELCOME ST",110800
4681,"4 EAST GRAND AV",109000
4682,"12 EAST GRAND AV",170800
4683,"16 EAST GRAND AV",126400
4684,"14 EAST GRAND AV",101500
4685,"28 EAST GRAND AV",517300
4686,"36 EAST GRAND AV",288300
4687,"686 QUINNIPIAC AV",230100
4688,"690 QUINNIPIAC AV",228400
4689,"702 QUINNIPIAC AV #A",150000
4690,"702 QUINNIPIAC AV #B",132500
4691,"702 QUINNIPIAC AV #C",132500
4692,"702 QUINNIPIAC AV #D",111100
4693,"702 QUINNIPIAC AV #E",126100
4694,"702 QUINNIPIAC AV #F",126500
4695,"702 QUINNIPIAC AV #G",125800
4696,"702 QUINNIPIAC AV #H",125800
4697,"702 QUINNIPIAC AV #I",111100
4698,"710 QUINNIPIAC AV",171200
4699,"714 QUINNIPIAC AV",134900
4700,"718 QUINNIPIAC AV",230600
4701,"3 CLIFTON ST",490700
4702,"693 QUINNIPIAC AV #1",91900
4703,"695 QUINNIPIAC AV #2",107000
4704,"689 QUINNIPIAC AV #3",91900
4705,"691 QUINNIPIAC AV #4",107000
4706,"685 QUINNIPIAC AV #5",119300
4707,"687 QUINNIPIAC AV #6",123700
4708,"681 QUINNIPIAC AV #7",112000
4709,"683 QUINNIPIAC AV #8",115500
4710,"677 QUINNIPIAC AV #9",147600
4711,"679 QUINNIPIAC AV #10",110100
4712,"673 QUINNIPIAC AV #11",147600
4713,"675 QUINNIPIAC AV #12",110100
4714,"671 QUINNIPIAC AV #13",164300
4715,"46 EAST GRAND AV #14",113800
4716,"44 EAST GRAND AV #15",120600
4717,"48 EAST GRAND AV #16",132000
4718,"701 QUINNIPIAC AV",208900
4719,"705 QUINNIPIAC AV",149800
4720,"715 QUINNIPIAC AV",181100
4721,"719 QUINNIPIAC AV",124600
4722,"723 QUINNIPIAC AV",116700
4723,"7 CLIFTON ST",109000
4724,"17 CLIFTON ST",155500
4725,"378 LENOX ST",127700
4726,"374 LENOX ST",142200
4727,"370 LENOX ST",149500
4728,"366 LENOX ST",160100
4729,"356 LENOX ST",446400
4730,"350 LENOX ST",113400
4731,"64 EAST GRAND AV",203400
4732,"60 EAST GRAND AV",1530600
4733,NA,NA
4734,NA,NA
4735,NA,NA
4736,"349 LENOX ST",90600
4737,"82 EAST GRAND AV",3800
4738,"HULSE ST",37700
4739,"86 EAST GRAND AV",34500
4740,"LEXINGTON AV",3600
4741,"355 LENOX ST",183200
4742,"361 LENOX ST",209100
4743,"367 LENOX ST",206500
4744,"373 LENOX ST",152700
4745,"377 LENOX ST",178000
4746,"381 LENOX ST",177400
4747,"387 LENOX ST",106400
4748,"CLIFTON ST",2100
4749,"39 CLIFTON ST",119500
4750,"402 LEXINGTON AV",165800
4751,"400 LEXINGTON AV",98100
4752,"398 LEXINGTON AV",169700
4753,"388 LEXINGTON AV",112300
4754,"382 LEXINGTON AV",121900
4755,"34 HULSE ST",117200
4756,"30 HULSE ST",192400
4757,"16 HULSE ST",134000
4758,"838 QUINNIPIAC AV",201000
4759,"832 QUINNIPIAC AV",288100
4760,"826 QUINNIPIAC AV",237400
4761,"822 QUINNIPIAC AV",186700
4762,"818 QUINNIPIAC AV",223100
4763,"806 QUINNIPIAC AV",211200
4764,"800 QUINNIPIAC AV",227400
4765,"798 QUINNIPIAC AV",216300
4766,"790 QUINNIPIAC AV",163400
4767,"784 QUINNIPIAC AV",482300
4768,"776 QUINNIPIAC AV",498400
4769,"764 QUINNIPIAC AV",472500
4770,NA,NA
4771,"744 QUINNIPIAC AV #9",185800
4772,"746 QUINNIPIAC AV #10",165600
4773,"748 QUINNIPIAC AV #11",171400
4774,"750 QUINNIPIAC AV12",182600
4775,"740 QUINNIPIAC AV",261600
4776,"736 QUINNIPIAC AV",141000
4777,"728 QUINNIPIAC AV",440700
4778,"4 CLIFTON ST",164000
4779,"2 CLIFTON ST",153900
4780,"729 QUINNIPIAC AV #731",103500
4781,"731 QUINNIPIAC AV #731",125600
4782,"733 QUINNIPIAC AV #733",124600
4783,"735 QUINNIPIAC AV #735",108700
4784,"737 QUINNIPIAC AV #737",130500
4785,"739 QUINNIPIAC AV #739",108500
4786,"741 QUINNIPIAC AV #741",117000
4787,"753 QUINNIPIAC AV",165200
4788,"747 QUINNIPIAC AV",174000
4789,"759 QUINNIPIAC AV",204300
4790,"765 QUINNIPIAC AV",156900
4791,"773 QUINNIPIAC AV",139400
4792,"779 QUINNIPIAC AV",145700
4793,"783 QUINNIPIAC AV",127100
4794,"789 QUINNIPIAC AV",187400
4795,"797 QUINNIPIAC AV",124200
4796,"805 QUINNIPIAC AV",3337700
4797,"813 QUINNIPIAC AV",164900
4798,"825 QUINNIPIAC AV",124200
4799,"2 RUNO TER",48000
4800,"3 RUNO TER",127400
4801,"5 RUNO TER",110500
4802,"9 RUNO TER",146800
4803,"RUNO TER",37300
4804,"11 RUNO TER",128100
4805,"837 QUINNIPIAC AV",161000
4806,"847 QUINNIPIAC AV",209800
4807,"853 QUINNIPIAC AV",151200
4808,"861 QUINNIPIAC AV",110500
4809,"64 FIRST AV",91500
4810,"62 FIRST AV",170000
4811,"36 FIRST AV",148300
4812,"32 FIRST AV",117800
4813,"30 FIRST AV",156200
4814,"28 FIRST AV",276400
4815,"FIRST AV",3900
4816,"22 FIRST AV",111700
4817,"20 FIRST AV",140000
4818,"16 FIRST AV",131300
4819,"190 CLIFTON ST",122700
4820,"90 CLIFTON ST",3728000
4821,"80 CLIFTON ST",99400
4822,"84 CLIFTON ST",41400
4823,"62 CLIFTON ST",150700
4824,"433 LEXINGTON AV",274700
4825,"439 LEXINGTON AV",155400
4826,"442 LEXINGTON AV",409400
4827,"430 LEXINGTON AV",138800
4828,"52 CLIFTON ST",232500
4829,"420 LEXINGTON AV",142000
4830,"36 CLIFTON ST",145500
4831,"32 CLIFTON ST",158000
4832,NA,NA
4833,"26 CLIFTON ST",184100
4834,"20 CLIFTON ST",135200
4835,"12 CLIFTON ST",206400
4836,"65 FIRST AV",139300
4837,"164 ROSEWOOD AV",97900
4838,"154 ROSEWOOD AV",87800
4839,"144 ROSEWOOD AV",78900
4840,"134 ROSEWOOD AV",91900
4841,"124 ROSEWOOD AV",96200
4842,"114 ROSEWOOD AV",75100
4843,"104 ROSEWOOD AV",77400
4844,"94 ROSEWOOD AV",86100
4845,"84 ROSEWOOD AV",123000
4846,"74 ROSEWOOD AV",95500
4847,"64 ROSEWOOD AV",89800
4848,"54 ROSEWOOD AV",77900
4849,"44 ROSEWOOD AV",89400
4850,"34 ROSEWOOD AV",87300
4851,"20 ROSEWOOD AV",87200
4852,"10 ROSEWOOD AV",98200
4853,"242 CLIFTON ST",134500
4854,"236 CLIFTON ST",118500
4855,"200 CLIFTON ST",149800
4856,"19 FIRST AV",136300
4857,"23 FIRST AV",114800
4858,"13 FIRST AV",176500
4859,"15 FIRST AV",178900
4860,"37 FIRST AV",99300
4861,"43 FIRST AV",123100
4862,"51 FIRST AV",107300
4863,"FIRST AV",34900
4864,"57 FIRST AV",154100
4865,"220 CLIFTON ST",157700
4866,"CLIFTON ST",46900
4867,"115 ROSEWOOD AV",122800
4868,"700 RUSSELL ST",138500
4869,"696 RUSSELL ST",147000
4870,"692 RUSSELL ST",93700
4871,"688 RUSSELL ST",90100
4872,"684 RUSSELL ST",167400
4873,"678 RUSSELL ST",132000
4874,"672 RUSSELL ST",94400
4875,"668 RUSSELL ST",106600
4876,"664 RUSSELL ST",85700
4877,"660 RUSSELL ST",79400
4878,"654 RUSSELL ST",94000
4879,"CLIFTON ST",3700
4880,"280 CLIFTON ST",120600
4881,"274 CLIFTON ST",103600
4882,"270 CLIFTON ST",180700
4883,"264 CLIFTON ST",113600
4884,"31 ROSEWOOD AV",139500
4885,"41 ROSEWOOD AV",164000
4886,"55 ROSEWOOD AV",102300
4887,"65 ROSEWOOD AV",99400
4888,"75 ROSEWOOD AV",95800
4889,"85 ROSEWOOD AV",102700
4890,"95 ROSEWOOD AV",90400
4891,"105 ROSEWOOD AV",96700
4892,"165 ROSEWOOD AV",123200
4893,"724 RUSSELL ST",94500
4894,"716 RUSSELL ST",132000
4895,"714 RUSSELL ST",129700
4896,"710 RUSSELL ST",128700
4897,"145 ROSEWOOD AV",95600
4898,"155 ROSEWOOD AV",91100
4899,"729 RUSSELL ST",175400
4900,"180 EASTERN ST",123800
4901,"182 EASTERN ST",141900
4902,"717 RUSSELL ST",198700
4903,"162 EASTERN ST",148700
4904,"168 EASTERN ST",146800
4905,"711 RUSSELL ST",184300
4906,"705 RUSSELL ST",167100
4907,"158 EASTERN ST",177700
4908,"697 RUSSELL ST",145400
4909,"154 EASTERN ST",142900
4910,"693 RUSSELL ST",152200
4911,"66 EASTERN ST",5500000
4912,"563 RUSSELL ST",128700
4913,"569 RUSSELL ST",108500
4914,"575 RUSSELL ST",127200
4915,"581 RUSSELL ST",126500
4916,"587 RUSSELL ST",121700
4917,"593 RUSSELL ST",122900
4918,"599 RUSSELL ST",134500
4919,"605 RUSSELL ST",147200
4920,"611 RUSSELL ST",122200
4921,"617 RUSSELL ST",123400
4922,"625 RUSSELL ST",136600
4923,"299 CLIFTON ST",106600
4924,"309 CLIFTON ST",168400
4925,NA,NA
4926,"317 CLIFTON ST",157000
4927,"325 CLIFTON ST",127300
4928,"331 CLIFTON ST",142100
4929,"54 EASTERN ST",156100
4930,"44 EASTERN ST",133700
4931,"38 EASTERN ST",131100
4932,"CLIFTON ST",4000
4933,"11 RUSSO TER",189400
4934,"9 RUSSO TER",207900
4935,NA,NA
4936,NA,NA
4937,NA,NA
4938,NA,NA
4939,"22 EASTERN ST",175800
4940,"20 EASTERN ST",118200
4941,"16 EASTERN ST",121100
4942,"10 EASTERN ST",174100
4943,"8 EASTERN ST",172400
4944,"EASTERN ST",4000
4945,"54 KINGSWOOD DR",822900
4946,"50 KINGSWOOD DR",163300
4947,"42 KINGSWOOD DR",164500
4948,"37 KINGSWOOD DR",200700
4949,"22 KINGSWOOD DR",129500
4950,"16 KINGSWOOD DR",134100
4951,"35 EASTERN ST",919100
4952,"EASTERN ST",88000
4953,"85 EASTERN ST",178800
4954,"113 EASTERN ST",128000
4955,NA,NA
4956,NA,NA
4957,"117 EASTERN ST",126800
4958,"137 EASTERN ST",138600
4959,"139 EASTERN ST",131300
4960,"143 EASTERN ST",134000
4961,"MARIE ST",3600
4962,"38 MARIE ST",124000
4963,"30 MARIE ST",208100
4964,"22 MARIE ST",169500
4965,"20 MARIE ST",137500
4966,"145 EASTERN ST",27778300
4967,"315 EASTERN ST",24500000
4968,"363 EASTERN ST",21273300
4969,"270 ROSEWOOD AV #1",124300
4970,"272 ROSEWOOD AV #2",124300
4971,"274 ROSEWOOD AV #3",124300
4972,"276 ROSEWOOD AV #4",124300
4973,"288 ROSEWOOD AV #5",122600
4974,"290 ROSEWOOD AV #6",124300
4975,"292 ROSEWOOD AV #7",124300
4976,"294 ROSEWOOD AV #8",124300
4977,"306 ROSEWOOD AV #9",124300
4978,"308 ROSEWOOD AV #10",124300
4979,"310 ROSEWOOD AV #11",122600
4980,"312 ROSEWOOD AV #12",124300
4981,"324 ROSEWOOD AV #13",124300
4982,"326 ROSEWOOD AV #14",124300
4983,"328 ROSEWOOD AV #15",122600
4984,"330 ROSEWOOD AV #16",122600
4985,"256 ROSEWOOD AV",98300
4986,"244 ROSEWOOD AV",94400
4987,"234 ROSEWOOD AV",131800
4988,"224 ROSEWOOD AV",119900
4989,"214 ROSEWOOD AV",93400
4990,"204 ROSEWOOD AV",93800
4991,"194 ROSEWOOD AV",94800
4992,"184 ROSEWOOD AV",89700
4993,"174 ROSEWOOD AV",86100
4994,"79 FIRST AV",116500
4995,"85 FIRST AV",119100
4996,"93 FIRST AV",125600
4997,"99 FIRST AV",136500
4998,"105 FIRST AV",116900
4999,"111 FIRST AV",149800
5000,"117 FIRST AV",142100
5001,"125 FIRST AV",143900
5002,"135 FIRST AV",109500
5003,"145 FIRST AV",108300
5004,"151 FIRST AV",117900
5005,"161 FIRST AV",117200
5006,"CLIFTON ST",4700
5007,"61 HEMINGWAY ST",190400
5008,"59 HEMINGWAY ST",157000
5009,"57 HEMINGWAY ST",166000
5010,"55 HEMINGWAY ST",177500
5011,"53 HEMINGWAY ST",150400
5012,"51 HEMINGWAY ST",174800
5013,"49 HEMINGWAY ST",167000
5014,"47 HEMINGWAY ST",147900
5015,"45 HEMINGWAY ST",202200
5016,"HEMINGWAY ST",45400
5017,"335 ROSEWOOD AV",146100
5018,"113 HEMINGWAY ST",142700
5019,"119 HEMINGWAY ST",125500
5020,"818 RUSSELL ST",130900
5021,"804 RUSSELL ST",127600
5022,"790 RUSSELL ST",130500
5023,"788 RUSSELL ST",184000
5024,"780 RUSSELL ST",129500
5025,"772 RUSSELL ST",154200
5026,"766 RUSSELL ST",146800
5027,"760 RUSSELL ST",119300
5028,"756 RUSSELL ST",83500
5029,"752 RUSSELL ST",164900
5030,"748 RUSSELL ST",90600
5031,"744 RUSSELL ST",113700
5032,"740 RUSSELL ST",113500
5033,"738 RUSSELL ST",149000
5034,"734 RUSSELL ST",135000
5035,"728 RUSSELL ST",91700
5036,"175 ROSEWOOD AV",95300
5037,"185 ROSEWOOD AV",115400
5038,"195 ROSEWOOD AV",129200
5039,"205 ROSEWOOD AV",84900
5040,"215 ROSEWOOD AV",94400
5041,"225 ROSEWOOD AV",86200
5042,"235 ROSEWOOD AV",114300
5043,"245 ROSEWOOD AV",94800
5044,"265 ROSEWOOD AV",132000
5045,"275 ROSEWOOD AV",171700
5046,"295 ROSEWOOD AV",188900
5047,"315 ROSEWOOD AV",138900
5048,"813 RUSSELL ST",119800
5049,"821 RUSSELL ST",132100
5050,"805 RUSSELL ST",132600
5051,"HEMINGWAY ST",47300
5052,"799 RUSSELL ST",178600
5053,"220 EASTERN ST",194400
5054,"791 RUSSELL ST",147200
5055,"779 RUSSELL ST",188400
5056,"771 RUSSELL ST",158300
5057,"210 EASTERN ST",211800
5058,"763 RUSSELL ST",151400
5059,"757 RUSSELL ST",188300
5060,"204 EASTERN ST",133600
5061,NA,NA
5062,"751 RUSSELL ST",147600
5063,"192 EASTERN ST",101400
5064,"186 EASTERN ST",114900
5065,"745 RUSSELL ST",132100
5066,"741 RUSSELL ST",121200
5067,"184 EASTERN ST",144200
5068,"986 QUINNIPIAC AV #1",82200
5069,"986 QUINNIPIAC AV #2",82200
5070,"986 QUINNIPIAC AV #3",82200
