"totval","bedrooms","nineplus","finalbaths","price1","date1","price2","date2","price3","date3","price4","date4","price5","date5","yearbuilt","sqft","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","zone","neighborhood","garagesqft","latitude","longitude"
135100,6,0,3,136500,"10/03/2003",0,"05/21/2003",55000,"01/29/1998",0,"01/29/1998",0,"10/02/1987",1920,3291,78,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.12,"RM1","2000",0,41.287524735,-72.9312170133333
122400,5,0,3.5,0,"10/31/1994",0,"10/23/1984",NA,NA,NA,NA,NA,NA,1900,2933,78,"2 Family","Multi-Fam 2-4","Average",2,"Central","Average","Average",0.1,"RM2","1900",440,41.3075731933333,-72.9456920033333
120900,9,1,3,215000,"05/19/2004",45000,"04/22/2003",0,"03/22/2002",0,"01/31/2001",72000,"03/25/1999",1900,3180,78,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.14,"RM2","1600",0,41.329975,-72.9368080066667
297000,3,0,3,0,"10/15/2012",255000,"10/09/2012",0,"01/25/2000",0,"01/12/2000",NA,NA,1955,2343,78,"Ranch","Single Family","Above Average",1,"Central","Average","Average",0.25,"RS2","2900",528,41.321373,-72.9774633966667
349900,4,0,2,335000,"07/17/2014",0,"06/16/2014",0,"10/08/1993",NA,NA,NA,NA,1885,2116,68,"2 Family","Multi-Fam 2-4","Above Average",2,"Central","Average","Average",0.16,"RM2","1200",0,41.3136916,-72.9136946
85200,2,0,1.5,73000,"08/13/2004",0,"03/05/1987",NA,NA,NA,NA,NA,NA,1987,1075,88,"Condominium","Res Condo","Average",1,"Central","Average","Average",0,"RM2","2200",0,41.318954,-72.94877
88500,4,0,2,175000,"08/19/2004",92000,"11/18/2003",6000,"02/28/1997",0,"08/23/1996",0,"03/21/1996",1900,1720,78,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.08,"RM2","2000",220,41.28985,-72.93544
538600,5,0,3,521000,"09/07/2005",0,NA,NA,NA,NA,NA,NA,NA,1910,4027,68,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.14,"RM1","1300",400,41.32244,-72.9127447633333
135900,6,0,3,216000,"04/09/2008",10000,"12/12/2003",0,"05/25/2000",77900,"05/01/2000",0,"09/03/1999",1900,3501,68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.13,"RM2","1600",288,41.32668468,-72.92483274
153800,7,0,3,160000,"05/01/2015",0,"10/01/2014",316000,"07/31/2006",46000,"08/22/2000",0,"05/08/1998",1900,4537,78,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.16,"RM2","2000",0,41.29362285,-72.9332179866667
