"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",4,"3.4","9.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",5,"3.5","4.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",5,"3.5","4.0","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",5,"3.5","4.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",5,"3.5","4.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",5,"3.5","4.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",5,"3.5","4.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",5,"3.5","4.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",6,"3.4","8.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",6,"3.4","8.0","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",6,"3.4","8.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",6,"3.4","8.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",6,"3.4","8.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",6,"3.4","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","WARREN Ethan","AUS","12",6,"3.4","8.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",1,"3.4","8.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",1,"3.4","7.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",1,"3.4","8.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",1,"3.4","7.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",1,"3.4","8.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",1,"3.4","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",1,"3.4","8.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",2,"3.4","8.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",2,"3.4","7.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",2,"3.4","7.5","ROSLAN Rossharisham","MAS"
