20 02 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's 10m Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haut-vol 10 m - femmes Preliminary éliminatoires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dive List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de plongeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Order,,Name,,,,,,,,,,,,,Ctry Code,,,,Round 1,,,,,,,,,,,Round 2,,,,,,,,,,,Round 3,,,,,,,,,Round 4,,,,,,,,,,Round 5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Dive No.,,,,,,,DD,,,,Dive No.,,,,,,,DD,,,,Dive No.,,,,,,DD,,,Dive No.,,,,,,,DD,,,Dive No.,,,,,,,DD,,,,,,,,,,,,,,,,,
20,,TUKIET Traisy Vivien,,,,,,,,,,,,,MAS,,,,107B,,,,,,,3.0,,,,407C,,,,,,,3.2,,,,205B,,,,,,2.9,,,305C,,,,,,,2.7,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
21,,PAMG Pandelela Rinong,,,,,,,,,,,,,MAS,,,,107B,,,,,,,3.0,,,,205B,,,,,,,2.9,,,,6243D,,,,,,3.2,,,407C,,,,,,,3.2,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
22,,WIGGINS Loudy,,,,,,,,,,,,,AUS,,,,107B,,,,,,,3.0,,,,407C,,,,,,,3.2,,,,6243D,,,,,,3.2,,,207C,,,,,,,3.3,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
23,,ISHIMATSU Haley,,,,,,,,,,,,,USA,,,,6142D,,,,,,,3.1,,,,107B,,,,,,,3.0,,,,407C,,,,,,3.2,,,207C,,,,,,,3.3,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
24,,REISINGER Zsofia,,,,,,,,,,,,,HUN,,,,405B,,,,,,,2.8,,,,5235D,,,,,,,2.8,,,,614B,,,,,,2.4,,,305C,,,,,,,2.7,,,107B,,,,,,,3.0,,,,,,,,,,,,,,,,,
25,,RIBERA Annia,,,,,,,,,,,,,CUB,,,,405B,,,,,,,2.8,,,,107B,,,,,,,3.0,,,,205B,,,,,,2.9,,,6243D,,,,,,,3.2,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
26,,SPAZIANI Brenda,,,,,,,,,,,,,ITA,,,,405B,,,,,,,2.8,,,,107B,,,,,,,3.0,,,,205B,,,,,,2.9,,,6243D,,,,,,,3.2,,,5235D,,,,,,,2.8,,,,,,,,,,,,,,,,,
27,,TATSUMI Fuka,,,,,,,,,,,,,JPN,,,,5152B,,,,,,,2.9,,,,305B,,,,,,,2.9,,,,207C,,,,,,3.3,,,107B,,,,,,,3.0,,,407C,,,,,,,3.2,,,,,,,,,,,,,,,,,
28,,LAATUNEN Iira,,,,,,,,,,,,,FIN,,,,405B,,,,,,,2.8,,,,107C,,,,,,,2.7,,,,6241B,,,,,,2.7,,,5253B,,,,,,,3.2,,,205B,,,,,,,2.9,,,,,,,,,,,,,,,,,
29,,KURJO Maria,,,,,,,,,,,,,GER,,,,107B,,,,,,,3.0,,,,6243D,,,,,,,3.2,,,,407C,,,,,,3.2,,,5253B,,,,,,,3.2,,,205B,,,,,,,2.9,,,,,,,,,,,,,,,,,
30,,van KATWIJK Ginni,,,,,,,,,,,,,NED,,,,5152B,,,,,,,2.9,,,,107C,,,,,,,2.7,,,,405B,,,,,,2.8,,,205B,,,,,,,2.9,,,614B,,,,,,,2.4,,,,,,,,,,,,,,,,,
31,,KIM Suji,,,,,,,,,,,,,KOR,,,,405B,,,,,,,2.8,,,,107B,,,,,,,3.0,,,,205B,,,,,,2.9,,,305C,,,,,,,2.7,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
32,,HU Yadan,,,,,,,,,,,,,CHN,,,,107B,,,,,,,3.0,,,,407C,,,,,,,3.2,,,,6243D,,,,,,3.2,,,207C,,,,,,,3.3,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
33,,UN HYANG Kim,,,,,,,,,,,,,PRK,,,,107B,,,,,,,3.0,,,,407C,,,,,,,3.2,,,,207C,,,,,,3.3,,,626C,,,,,,,3.3,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
34,,JIN OK Kim,,,,,,,,,,,,,PRK,,,,107B,,,,,,,3.0,,,,407C,,,,,,,3.2,,,,207C,,,,,,3.3,,,6142D,,,,,,,3.1,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
35,,MENDES Andressa,,,,,,,,,,,,,BRA,,,,614B,,,,,,,2.4,,,,5152B,,,,,,,2.9,,,,305C,,,,,,2.7,,,107C,,,,,,,2.7,,,407C,,,,,,,3.2,,,,,,,,,,,,,,,,,
36,,GLADDING Monique,,,,,,,,,,,,,GBR,,,,405B,,,,,,,2.8,,,,5253B,,,,,,,3.2,,,,6243D,,,,,,3.2,,,205B,,,,,,,2.9,,,107B,,,,,,,3.0,,,,,,,,,,,,,,,,,
37,,LABEAU Audrey,,,,,,,,,,,,,FRA,,,,5253B,,,,,,,3.2,,,,107B,,,,,,,3.0,,,,205B,,,,,,2.9,,,405B,,,,,,,2.8,,,6243D,,,,,,,3.2,,,,,,,,,,,,,,,,,
38,,BENFEITO Meaghan,,,,,,,,,,,,,CAN,,,,107B,,,,,,,3.0,,,,207C,,,,,,,3.3,,,,407C,,,,,,3.2,,,626C,,,,,,,3.3,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
39,,KORMOS Villo Gyongyver,,,,,,,,,,,,,HUN,,,,305C,,,,,,,2.7,,,,205B,,,,,,,2.9,,,,624B,,,,,,2.8,,,405B,,,,,,,2.8,,,5235D,,,,,,,2.8,,,,,,,,,,,,,,,,,
40,,FILION Roseline,,,,,,,,,,,,,CAN,,,,407C,,,,,,,3.2,,,,207C,,,,,,,3.3,,,,107B,,,,,,3.0,,,626C,,,,,,,3.3,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
"Legend:DD          Degree of difficulty          No.          Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVW002901_51E 1.0                                                                                                  Report created SUN 19 FEB 2012 17:33                                                                                                           Page 1 of 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 02 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men's Synchronised 3m Springboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tremplin 3 m synchronisé - hommes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preliminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
éliminatoires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dive List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de plongeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Order,,Ctry Code,,,,,,Name,,,,,,,,,,,,,,,,,Round 1,,,,,,,,,,Round 2,,,,,,,,,Round 3,,,,,,,,Round 4,,,,,,,,,Round 5,,,,,,,,,Round 6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Dive No.,,,,,,DD,,,,Dive No.,,,,,,DD,,,Dive No.,,,,,DD,,,Dive No.,,,,,,DD,,,Dive No.,,,,,DD,,,,Dive No.,,,DD,,,,,,,,,,,
1,,GRE,,,,,,"MANOS AlexandrosPAPAROUNAS Stefanos",,,,,,,,,,,,,,,,,112C,,,,,,2.0,,,,213B,,,,,,2.0,,,5312A,,,,,2.3,,,412B,,,,,,1.9,,,306C,,,,,2.6,,,,114C,,,2.2,,,,,,,,,,,
2,,JPN,,,,,,"OKAMOTO YuSAKAI Sho",,,,,,,,,,,,,,,,,404B,,,,,,2.0,,,,306C,,,,,,2.0,,,5371C,,,,,3.1,,,215B,,,,,,3.3,,,114C,,,,,2.2,,,,312C,,,1.8,,,,,,,,,,,
3,,UKR,,,,,,"KVASHA IllyaPRYGOROV Oleksyi",,,,,,,,,,,,,,,,,212C,,,,,,2.0,,,,113C,,,,,,2.0,,,305C,,,,,2.8,,,213C,,,,,,2.1,,,5312A,,,,,2.3,,,,413B,,,2.6,,,,,,,,,,,
4,,GBR,,,,,,"MEARS ChristopherROBINSON BAKER Nicholas",,,,,,,,,,,,,,,,,403A,,,,,,2.0,,,,104C,,,,,,2.0,,,313C,,,,,2.2,,,5212B,,,,,,2.1,,,115B,,,,,2.7,,,,212C,,,1.7,,,,,,,,,,,
5,,SUI,,,,,,"ALOISIO AndreaSTOUDMAN Quentin",,,,,,,,,,,,,,,,,5312A,,,,,,2.0,,,,412B,,,,,,2.0,,,114B,,,,,2.3,,,112C,,,,,,1.7,,,213C,,,,,2.1,,,,312C,,,1.8,,,,,,,,,,,
6,,KOR,,,,,,"PARK JihoSON Seongchel",,,,,,,,,,,,,,,,,212C,,,,,,2.0,,,,413B,,,,,,2.0,,,212C,,,,,1.7,,,306C,,,,,,2.6,,,115C,,,,,2.5,,,,5251C,,,2.5,,,,,,,,,,,
7,,CUB,,,,,,"HERNANDEZ Rene PaulPUPO Jorge Luis",,,,,,,,,,,,,,,,,213C,,,,,,2.0,,,,5312A,,,,,,2.0,,,313B,,,,,2.5,,,213C,,,,,,2.1,,,115C,,,,,2.5,,,,412C,,,1.8,,,,,,,,,,,
8,,RUS,,,,,,"KUZNETSOV EvgenyZAKHAROV Anton",,,,,,,,,,,,,,,,,305C,,,,,,2.0,,,,212C,,,,,,2.0,,,5312A,,,,,2.3,,,115B,,,,,,2.7,,,403A,,,,,2.6,,,,104C,,,2.0,,,,,,,,,,,
9,,AUS,,,,,,"NEL GrantWARREN Ethan",,,,,,,,,,,,,,,,,412C,,,,,,2.0,,,,5412A,,,,,,2.0,,,114C,,,,,2.2,,,312C,,,,,,1.8,,,413B,,,,,2.6,,,,212C,,,1.7,,,,,,,,,,,
10,,FRA,,,,,,"CELY DamienROSSET Matthieu",,,,,,,,,,,,,,,,,313C,,,,,,2.0,,,,213C,,,,,,2.0,,,403A,,,,,2.6,,,401A,,,,,,1.7,,,5412A,,,,,2.1,,,,115C,,,2.5,,,,,,,,,,,
11,,CHI,,,,,,"NEGLIA DonatoCARQUIN Diego",,,,,,,,,,,,,,,,,212C,,,,,,2.0,,,,313C,,,,,,2.0,,,103A,,,,,1.9,,,103A,,,,,,1.9,,,412C,,,,,1.8,,,,5412A,,,2.1,,,,,,,,,,,
12,,ITA,,,,,,"MARCONI NicolaMARCONI Tommaso",,,,,,,,,,,,,,,,,413B,,,,,,2.0,,,,212C,,,,,,2.0,,,114C,,,,,2.2,,,5251C,,,,,,2.5,,,215B,,,,,3.3,,,,313C,,,2.2,,,,,,,,,,,
13,,USA,,,,,,"DUMAIS TroyIPSEN Kristian",,,,,,,,,,,,,,,,,102A,,,,,,2.0,,,,309C,,,,,,2.0,,,403A,,,,,2.6,,,104C,,,,,,2.0,,,215C,,,,,3.1,,,,5312A,,,2.3,,,,,,,,,,,
14,,CHN,,,,,,"LI ShixinLUO Yutong",,,,,,,,,,,,,,,,,115B,,,,,,2.0,,,,403A,,,,,,2.0,,,305C,,,,,2.8,,,213C,,,,,,2.1,,,5312A,,,,,2.3,,,,203B,,,2.2,,,,,,,,,,,
15,,NOR,,,,,,"VALHEIM EirikVALHEIM Espen",,,,,,,,,,,,,,,,,412C,,,,,,2.0,,,,306C,,,,,,2.0,,,212C,,,,,1.7,,,115C,,,,,,2.5,,,412C,,,,,1.8,,,,5412A,,,2.1,,,,,,,,,,,
16,,LTU,,,,,,"BARKAUSKAS IgnasBAZIUK Sergej",,,,,,,,,,,,,,,,,413C,,,,,,2.0,,,,5412A,,,,,,2.0,,,306C,,,,,2.6,,,212C,,,,,,1.7,,,306C,,,,,2.6,,,,113C,,,1.7,,,,,,,,,,,
17,,MAS,,,,,,"BRYAN NICKSON LomasHUANG Qiang",,,,,,,,,,,,,,,,,313C,,,,,,2.0,,,,5412A,,,,,,2.0,,,413B,,,,,2.6,,,213C,,,,,,2.1,,,413C,,,,,2.4,,,,113C,,,1.7,,,,,,,,,,,
18,,CAN,,,,,,"DESPATIE AlexandreROSS Reuben Daniel",,,,,,,,,,,,,,,,,112C,,,,,,2.0,,,,5212B,,,,,,2.0,,,307B,,,,,3.8,,,213C,,,,,,2.1,,,412B,,,,,1.9,,,,403A,,,2.6,,,,,,,,,,,
19,,NED,,,,,,"de BRUIJIN Yorickde MEIJER Ramon",,,,,,,,,,,,,,,,,306C,,,,,,2.0,,,,5371C,,,,,,2.0,,,412B,,,,,1.9,,,215B,,,,,,3.3,,,113C,,,,,1.7,,,,109C,,,3.8,,,,,,,,,,,
20,,GEO,,,,,,"CHANTURIA CholaKORAKHASHVILI Shota",,,,,,,,,,,,,,,,,106C,,,,,,2.0,,,,402A,,,,,,2.0,,,306C,,,,,2.6,,,215C,,,,,,3.1,,,5311A,,,,,2.1,,,,413B,,,2.6,,,,,,,,,,,
21,,VEN,,,,,,"CONTRERAS EdicksonPAEZ Robert",,,,,,,,,,,,,,,,,113C,,,,,,2.0,,,,109C,,,,,,2.0,,,212C,,,,,1.7,,,5311A,,,,,,2.1,,,413B,,,,,2.6,,,,313B,,,2.5,,,,,,,,,,,
22,,GER,,,,,,"HAUSDING PatrickROZENBERG Pavlo",,,,,,,,,,,,,,,,,102A,,,,,,2.0,,,,102A,,,,,,2.0,,,5412A,,,,,2.1,,,306B,,,,,,2.9,,,215C,,,,,3.1,,,,413C,,,2.4,,,,,,,,,,,
"Legend:DD          Degree of difficulty          No.          Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVM201901_51F 1.0                                                                                                   Report created FRI 17 FEB 2012 13:50                                                                                                            Page 1 of 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
