"pid","location","lat","lon"
15120,"46 PRINCE ST #408",43.1587744,-77.5892878
15121,"46 PRINCE ST #409",43.1587744,-77.5892878
15122,"46 PRINCE ST #410",43.1587744,-77.5892878
15123,"46 PRINCE ST #501",43.1587744,-77.5892878
15124,"46 PRINCE ST #601",43.1587744,-77.5892878
15125,"COLUMBUS AV",41.2977207,-72.9375651
15126,"COLUMBUS AV",41.2977207,-72.9375651
15127,"COLUMBUS AV",41.2977207,-72.9375651
15128,"COLUMBUS AV",41.2977207,-72.9375651
15129,"CEDAR ST",41.2980548,-72.9320372
15130,"10 AMISTAD ST",41.2999053,-72.9318117
15131,"CEDAR ST",41.2980548,-72.9320372
15132,"PRINCE ST",41.3013728,-72.9299269
15133,"CHURCH ST SOUTH",41.2993058,-72.9292786
15134,"PRINCE ST",41.3013728,-72.9299269
15135,"246 LAFAYETTE ST",41.302084,-72.930913
15136,"234 LAFAYETTE ST",41.301872,-72.930703
15137,"222 LAFAYETTE ST",41.301768,-72.930596
15138,"206 LAFAYETTE ST",41.301621,-72.93043
15139,"196 LAFAYETTE ST",41.301476,-72.9302647
15140,"188 LAFAYETTE ST",41.301376,-72.93019
15141,"39 PRINCE ST",41.30141,-72.930561
15142,"49 PRINCE ST",41.3010403,-72.9307351
15143,"19 GOLD ST",41.3012542,-72.9310583
15144,"70 WASHINGTON AV",41.3015927,-72.9314834
15145,"22 GOLD ST",41.3011726,-72.9315239
15146,"32 GOLD ST",41.301377,-72.931819
15147,"10 GOLD ST",41.3009238,-72.931271
15148,"104 WASHINGTON AV",41.30075,-72.932135
15149,"64 SPRING ST",41.2942794,-72.9311847
15150,"104 CEDAR ST",41.2940805,-72.9311797
15151,"90 CEDAR ST",41.293988,-72.931225
15152,"88 CEDAR ST",41.29392,-72.9312099
15153,"86 CEDAR ST",41.2938509,-72.931188
15154,"84 CEDAR ST",41.2937749,-72.931168
15155,"82 CEDAR ST",41.2937076,-72.9311101
15156,"11 ROSETTE ST",41.293808,-72.931448
15157,"17 ROSETTE ST",41.293797,-72.931572
15158,"19 ROSETTE ST",41.2937029,-72.931671
15159,"21 ROSETTE ST",41.293767,-72.931805
15160,"23 ROSETTE ST",41.293749,-72.931917
15161,"29 ROSETTE ST",41.293732,-72.932049
15162,"33 ROSETTE ST",41.293715,-72.932175
15163,"35 ROSETTE ST",41.293701,-72.932297
15164,"37 ROSETTE ST",41.2935619,-72.9324042
15165,"451 HOWARD AV",41.29351,-72.9327
15166,"455 HOWARD AV",41.293639,-72.932633
15167,"461 HOWARD AV",41.293753,-72.9327908
15168,"465 HOWARD AV",41.293875,-72.93271
15169,"469 HOWARD AV",41.2940029,-72.932731
15170,"473 HOWARD AV",41.294126,-72.932829
15171,"92 SPRING ST",41.2941659,-72.9325933
15172,"86 SPRING ST",41.2941657,-72.9324418
15173,"84 SPRING ST",41.2941798,-72.9322883
15174,"82 SPRING ST",41.294103,-72.932136
15175,"80 SPRING ST",41.2942012,-72.9320124
15176,"76 SPRING ST",41.2942258,-72.9318769
15177,"72 SPRING ST",41.2942482,-72.931716
15178,"70 SPRING ST",41.294181,-72.931557
15179,"68 SPRING ST",41.294232,-72.931431
15180,"66 SPRING ST",41.294252,-72.931307
15181,"515 HOWARD AV",41.295335,-72.933046
15182,"28 EDGAR ST",41.2953908,-72.9326841
15183,"26 EDGAR ST",41.2953027,-72.9326476
15184,"24 EDGAR ST",41.2952323,-72.9326184
15185,"22 EDGAR ST",41.29516,-72.932678
15186,"10 EDGAR ST",41.294767,-72.932565
15187,"8 EDGAR ST",41.294687,-72.9325439
15188,"85 SPRING ST",41.2945143,-72.9323691
15189,"87 SPRING ST",41.294526,-72.932498
15190,"89 SPRING ST",41.294512,-72.932607
15191,"91 SPRING ST",41.2944634,-72.9327058
15192,"485 HOWARD AV",41.2944329,-72.9329371
15193,"493 HOWARD AV",41.29464,-72.932947
15194,"505 HOWARD AV",41.2949072,-72.933138
15195,"118 PUTNAM ST",41.295612,-72.931518
15196,"132 CEDAR ST",41.295395,-72.931661
15197,"130 CEDAR ST",41.2953372,-72.931535
15198,"128 CEDAR ST",41.2952692,-72.9315216
15199,"126 CEDAR ST",41.295188,-72.931612
15200,"124 CEDAR ST",41.29512,-72.931594
15201,"122 CEDAR ST",41.295053,-72.931577
15202,"120 CEDAR ST",41.294951,-72.931548
15203,"118 CEDAR ST",41.294864,-72.9313536
15204,"63 SPRING ST",41.29466,-72.9313422
15205,"65 SPRING ST",41.2947119,-72.9315079
15206,"69 SPRING ST",41.2945719,-72.931624
15207,"73 SPRING ST",41.294677,-72.931781
15208,"75 SPRING ST",41.294659,-72.931913
15209,"79 SPRING ST",41.2946015,-72.9320064
15210,"81 SPRING ST",41.2945925,-72.9320694
