"pid","location","lat","lon"
9892,"529 GRAND AV",41.273283,-72.897215
9893,"539 GRAND AV",41.273139,-72.897251
9894,"555 GRAND AV",40.6004643,-73.752093
9895,"19 NEW ST",41.272767,-72.8981979
9896,"59 NEW ST",41.2729511,-72.8984406
9897,"NEW ST",41.274767,-72.89965
9898,"RAILROAD AV",41.2750336,-72.8995125
9899,"409 EAST ST",41.2751639,-72.899349
9900,"EAST ST",41.2753241,-72.8993963
9901,"EAST ST",41.2754565,-72.8993472
9902,"106 HAVEN ST",41.275561,-72.899197
9903,"104 HAVEN ST",41.2757463,-72.8992278
9904,"102 HAVEN ST",41.2805178,-72.8977366
9905,"98 HAVEN ST",41.2805178,-72.8977366
9906,NA,41.2805178,-72.8977366
9907,"94 HAVEN ST",41.2805178,-72.8977366
9908,"90 HAVEN ST",41.2805178,-72.8977366
9909,"88 HAVEN ST",41.275931,-72.89904
9910,"84 HAVEN ST",41.2763437,-72.8990287
9911,"82 HAVEN ST",41.2763073,-72.8987843
9912,"80 HAVEN ST",41.276197,-72.898549
9913,"76 HAVEN ST",41.276167,-72.898297
9914,"74 HAVEN ST",41.276136,-72.898038
9915,"72 HAVEN ST",41.275881,-72.898301
9916,"70 HAVEN ST",41.275735,-72.898365
9917,"66 HAVEN ST",41.275582,-72.898419
9918,"HAVEN ST",41.2782363,-72.8971325
9919,"425 GRAND AV",41.2782363,-72.8971325
9920,"447 GRAND AV",41.275397,-72.898416
9921,NA,41.2752439,-72.8983682
9922,"451 GRAND AV",41.275115,-72.89851
9923,"262 JAMES ST",41.2749386,-72.8984392
9924,"260 JAMES ST",41.2746337,-72.8985343
9925,"258 JAMES ST",41.2746939,-72.898771
9926,"254 JAMES ST",41.2747699,-72.899098
9927,"252 JAMES ST",41.274724,-72.899405
9928,NA,40.6004643,-73.752093
9929,"250 JAMES ST",41.274847,-72.897679
9930,"248 JAMES ST",41.274992,-72.897615
9931,"244 JAMES ST",41.2751834,-72.8977941
9932,"238 JAMES ST",41.275296,-72.897537
9933,"230 JAMES ST",41.2754831,-72.8977115
9934,"399 GRAND AV",41.2756527,-72.8976534
9935,"405 GRAND AV",41.27579,-72.897401
9936,"411 GRAND AV",41.2759799,-72.897504
9937,"413 GRAND AV",41.276161,-72.897451
