"pid","location","lat","lon"
162,"675 TOWNSEND AV #162",NA,NA
163,"675 TOWNSEND AV #163",NA,NA
164,"675 TOWNSEND AV #164",NA,NA
165,"675 TOWNSEND AV #165",NA,NA
166,"675 TOWNSEND AV #166",NA,NA
167,"675 TOWNSEND AV #167",NA,NA
168,"675 TOWNSEND AV #168",NA,NA
169,"675 TOWNSEND AV #169",NA,NA
170,"675 TOWNSEND AV #170",NA,NA
171,"675 TOWNSEND AV #171",NA,NA
172,"675 TOWNSEND AV #178",NA,NA
173,"675 TOWNSEND AV #179",NA,NA
174,"675 TOWNSEND AV #180",NA,NA
175,"675 TOWNSEND AV #181",NA,NA
176,"675 TOWNSEND AV #190",NA,NA
177,"675 TOWNSEND AV #191",NA,NA
178,"675 TOWNSEND AV #192",NA,NA
179,"675 TOWNSEND AV #193",NA,NA
180,"675 TOWNSEND AV #186",NA,NA
181,"675 TOWNSEND AV #187",NA,NA
182,"675 TOWNSEND AV #188",NA,NA
183,"675 TOWNSEND AV #189",NA,NA
184,"675 TOWNSEND AV #182",NA,NA
185,"675 TOWNSEND AV #183",NA,NA
186,"675 TOWNSEND AV #184",NA,NA
187,"675 TOWNSEND AV #185",NA,NA
188,"675 TOWNSEND AV #176",NA,NA
189,"675 TOWNSEND AV #177",NA,NA
190,"675 TOWNSEND AV #172",NA,NA
191,"675 TOWNSEND AV #173",NA,NA
192,"675 TOWNSEND AV #174",NA,NA
193,"675 TOWNSEND AV #175",NA,NA
194,"675 TOWNSEND AV #152",NA,NA
195,"675 TOWNSEND AV #153",NA,NA
196,"675 TOWNSEND AV #148",NA,NA
197,"675 TOWNSEND AV #149",NA,NA
198,"675 TOWNSEND AV #150",NA,NA
199,"675 TOWNSEND AV #151",NA,NA
200,"675 TOWNSEND AV #144",NA,NA
201,"675 TOWNSEND AV #145",NA,NA
202,"675 TOWNSEND AV #146",NA,NA
203,"675 TOWNSEND AV #147",NA,NA
204,"675 TOWNSEND AV #128",NA,NA
205,"675 TOWNSEND AV #129",NA,NA
206,"675 TOWNSEND AV #130",NA,NA
207,"675 TOWNSEND AV #131",NA,NA
208,"675 TOWNSEND AV #126",NA,NA
209,"675 TOWNSEND AV #127",NA,NA
210,"675 TOWNSEND AV #122",NA,NA
211,"675 TOWNSEND AV #123",NA,NA
212,"675 TOWNSEND AV #124",NA,NA
213,"675 TOWNSEND AV #125",NA,NA
214,"675 TOWNSEND AV #112",NA,NA
215,"675 TOWNSEND AV #113",NA,NA
216,"675 TOWNSEND AV #114",NA,NA
217,"675 TOWNSEND AV #115",NA,NA
218,"675 TOWNSEND AV #108",NA,NA
219,"675 TOWNSEND AV #109",NA,NA
220,"675 TOWNSEND AV #110",NA,NA
221,"675 TOWNSEND AV #111",NA,NA
222,"675 TOWNSEND AV #104",NA,NA
223,"675 TOWNSEND AV #105",NA,NA
224,"675 TOWNSEND AV #106",NA,NA
225,"675 TOWNSEND AV #107",NA,NA
226,"675 TOWNSEND AV #101",NA,NA
227,"675 TOWNSEND AV #102",NA,NA
228,"675 TOWNSEND AV #103",NA,NA
229,"108 LAURA LA",NA,NA
230,"102 LAURA LA",NA,NA
231,"96 LAURA LA",NA,NA
232,"LAURA LA",NA,NA
233,"LAURA LA",NA,NA
234,"86 LAURA LA",NA,NA
235,"80 LAURA LA",NA,NA
236,"76 LAURA LA",NA,NA
