"pid","location","latitude","longitude"
5320,"167 OLD FOXON RD #B-51",NA,NA
5321,"167 OLD FOXON RD #A-52",NA,NA
5322,"FOXON BLVD",NA,NA
5323,"471 FOXON BLVD",41.320347,-72.86805
5324,"451 FOXON BLVD",41.320297,-72.868324
5325,NA,NA,NA
5326,NA,NA,NA
5327,"87 FOXON ST",41.319576,-72.87272
5328,"447 EASTERN ST",41.319305,-72.87172
5329,"437 EASTERN ST",41.31921,-72.87169
5330,"EASTERN ST",NA,NA
5331,"425 EASTERN ST",41.31909,-72.87166
5332,"401 EASTERN ST",41.317947,-72.87203
5333,"EASTERN ST",NA,NA
5334,"EASTERN ST",NA,NA
5335,"407 EASTERN ST",41.31814,-72.871925
5336,"403 EASTERN ST",41.318012,-72.871994
5337,"399 EASTERN ST",41.317883,-72.87207
5338,NA,NA,NA
5339,"339 EASTERN ST",41.31588,-72.87289
5340,"321 EASTERN ST",41.315277,-72.87313
5341,"301 EASTERN ST",41.314384,-72.873505
5342,"11 ESSEX ST",41.317333,-72.87602
5343,"17 ESSEX ST",41.317398,-72.875916
5344,"21 ESSEX ST",41.317444,-72.87585
5345,"27 ESSEX ST",41.317513,-72.87574
5346,"31 ESSEX ST",41.317554,-72.87566
5347,"ESSEX ST",NA,NA
5348,"ESSEX ST",NA,NA
5349,"97 ESSEX ST",41.31829,-72.87447
5350,"ESSEX ST",NA,NA
5351,"101 ESSEX ST",41.318333,-72.874405
5352,"109 ESSEX ST",41.31842,-72.87426
5353,"1081 QUINNIPIAC AV",41.316486,-72.876915
5354,"420 EASTERN ST",41.31744,-72.87232
5355,"394 EASTERN ST",41.31683,-72.872574
5356,"400 EASTERN ST",41.316975,-72.87253
5357,"390 EASTERN ST",41.316734,-72.8726
5358,"385 EASTERN ST",41.31743,-72.872314
5359,"1111 QUINNIPIAC AV",41.317398,-72.87628
5360,"1121 QUINNIPIAC AV",41.317627,-72.87614
5361,"1129 QUINNIPIAC AV",41.317806,-72.876015
5362,"1139 QUINNIPIAC AV",41.31803,-72.87586
5363,"1143 QUINNIPIAC AV",41.318123,-72.8758
5364,"1149 QUINNIPIAC AV",41.318256,-72.87571
5365,"1159 QUINNIPIAC AV",41.31848,-72.87556
5366,"1163 QUINNIPIAC AV",41.318573,-72.8755
5367,"1173 QUINNIPIAC AV",41.318798,-72.87535
5368,"1175 QUINNIPIAC AV",41.318844,-72.87532
5369,"1183 QUINNIPIAC AV",41.319023,-72.8752
5370,"1187 QUINNIPIAC AV",41.319115,-72.87514
5371,"15 FOXON ST",41.319572,-72.874306
5372,"21 FOXON ST",41.319576,-72.874176
5373,"29 FOXON ST",41.319576,-72.874
5374,"31 FOXON ST",41.319576,-72.873955
5375,"35 FOXON ST",41.319576,-72.87387
5376,"41 FOXON ST",41.319576,-72.87373
5377,"45 FOXON ST",41.319576,-72.87365
5378,"47 FOXON ST",41.319576,-72.873604
5379,"114 ESSEX ST",41.31849,-72.874176
5380,"106 ESSEX ST",41.318398,-72.87432
5381,"102 ESSEX ST",41.31835,-72.8744
5382,"96 ESSEX ST",41.318287,-72.874504
5383,"90 ESSEX ST",41.31822,-72.87461
5384,"84 ESSEX ST",41.318153,-72.874725
5385,"80 ESSEX ST",41.318108,-72.874794
5386,"70 ESSEX ST",41.317993,-72.87498
5387,"1211 QUINNIPIAC AV",41.319874,-72.87461
5388,"1215 QUINNIPIAC AV",41.31995,-72.874565
5389,"355 FOXON BLVD",41.32104,-72.87449
5390,"375 FOXON BLVD",41.32067,-72.87332
5391,"399 FOXON BLVD",41.320465,-72.87265
5392,"405 FOXON BLVD",41.32042,-72.87248
5393,"70 FOXON ST",41.319588,-72.873535
5394,"60 FOXON ST",41.319588,-72.873924
5395,"FOXON ST",NA,NA
5396,"54 FOXON ST",41.319584,-72.87415
5397,"46 FOXON ST",41.319584,-72.874466
5398,"42 FOXON ST",41.319584,-72.87462
5399,"38 FOXON ST",41.319588,-72.87245
5400,"36 FOXON ST",41.319588,-72.872574
5401,"28 FOXON ST",41.319588,-72.873055
5402,"1040 QUINNIPIAC AV",41.315437,-72.87763
5403,"QUINNIPIAC AV",NA,NA
5404,"1172 QUINNIPIAC AV",41.318836,-72.875336
5405,"QUINNIPIAC AV",NA,NA
5406,"1162 QUINNIPIAC AV",41.318626,-72.87548
5407,"1154 QUINNIPIAC AV",41.318455,-72.875595
5408,"1154 QUINNIPIAC AV",41.318455,-72.875595
5409,"1146 QUINNIPIAC AV",41.318287,-72.87571
5410,"1134 QUINNIPIAC AV",41.31803,-72.87588
5411,"QUINNIPIAC AV",NA,NA
5412,"1120 QUINNIPIAC AV",41.317734,-72.876076
5413,"1118 QUINNIPIAC AV",41.31769,-72.87611
5414,"1116 QUINNIPIAC AV",41.31765,-72.87614
5415,"QUINNIPIAC AV",NA,NA
5416,"1096 QUINNIPIAC AV",41.317223,-72.87641
5417,"1100 QUINNIPIAC AV",41.317307,-72.87636
5418,"MIDDLETOWN AV",NA,NA
5419,"QUINNIPIAC AV",NA,NA
5420,"QUINNIPIAC AV",NA,NA
5421,"QUINNIPIAC AV",NA,NA
5422,"QUINNIPIAC AV",NA,NA
5423,"QUINNIPIAC AV",NA,NA
5424,"QUINNIPIAC AV",NA,NA
5425,"QUINNIPIAC AV",NA,NA
5426,"QUINNIPIAC AV",NA,NA
5427,"QUINNIPIAC AV",NA,NA
5428,"115 FOXON BLVD",41.32444,-72.86175
5429,"125 FOXON BLVD",41.324722,-72.86165
5430,"225 FOXON BLVD",41.327854,-72.86037
5431,"315 FOXON BLVD",41.32246,-72.87814
5432,"1228 QUINNIPIAC AV",41.320217,-72.87442
5433,"1212 QUINNIPIAC AV",41.319916,-72.8746
5434,"1200 QUINNIPIAC AV",41.319695,-72.874756
5435,"1190 QUINNIPIAC AV",41.31922,-72.875084
5436,"294 FOXON BLVD",41.328068,-72.8603
5437,"270 FOXON BLVD",41.32798,-72.86033
5438,"201 BARNES AV",41.322426,-72.87606
5439,"203 BARNES AV",41.32242,-72.876015
5440,"205 BARNES AV",41.322414,-72.87596
5441,"211 BARNES AV",41.3224,-72.87582
5442,"211 BARNES AV #1",41.3224,-72.87582
5443,"213 BARNES AV #2",41.322395,-72.87576
5444,"215 BARNES AV #3",41.32239,-72.87572
5445,"217 BARNES AV #4",41.322384,-72.87566
5446,"219 BARNES AV #5",41.32238,-72.87562
5447,"221 BARNES AV #6",41.322376,-72.875565
5448,"223 BARNES AV #7",41.322372,-72.87552
5449,"225 BARNES AV #8",41.322365,-72.875465
5450,"227 BARNES AV #9",41.32236,-72.87542
5451,"229 BARNES AV #10",41.322353,-72.87537
5452,"231 BARNES AV #11",41.32235,-72.87532
5453,"233 BARNES AV #12",41.322346,-72.875275
5454,"235 BARNES AV #13",41.32234,-72.87522
5455,"237 BARNES AV #14",41.322334,-72.875175
5456,"239 BARNES AV #15",41.32233,-72.87512
5457,"241 BARNES AV #16",41.322323,-72.87508
5458,"243 BARNES AV #17",41.32232,-72.87502
5459,"245 BARNES AV #18",41.32231,-72.87498
5460,"247 BARNES AV #19",41.322304,-72.87492
5461,"249 BARNES AV #20",41.322296,-72.87488
5462,"251 BARNES AV #21",41.322285,-72.87483
5463,"253 BARNES AV #22",41.32227,-72.87479
5464,"255 BARNES AV #23",41.322258,-72.87474
5465,"257 BARNES AV #24",41.322247,-72.874695
5466,"1268 QUINNIPIAC AV",41.321175,-72.87381
5467,"1262 QUINNIPIAC AV",41.321014,-72.873924
5468,"1260 QUINNIPIAC AV",41.32096,-72.87396
5469,"320 FOXON BLVD",41.320747,-72.87353
5470,"350 FOXON BLVD",41.32061,-72.87309
5471,"1263 QUINNIPIAC AV",41.321037,-72.873886
5472,"1267 QUINNIPIAC AV",41.321205,-72.87378
5473,"1275 QUINNIPIAC AV",41.321537,-72.87355
5474,"1299 QUINNIPIAC AV",41.322205,-72.87309
5475,"1305 QUINNIPIAC AV",41.322315,-72.87302
5476,"1311 QUINNIPIAC AV",41.32243,-72.87294
5477,"1317 QUINNIPIAC AV",41.32254,-72.87286
5478,"1323 QUINNIPIAC AV",41.322655,-72.87279
5479,"1333 QUINNIPIAC AV",NA,NA
5480,"1343 QUINNIPIAC AV",41.323338,-72.872314
5481,"584 EASTERN ST",41.323093,-72.87193
5482,"580 EASTERN ST",41.322968,-72.87191
5483,"574 EASTERN ST",41.322777,-72.87189
5484,"570 EASTERN ST",41.322647,-72.87187
5485,"566 EASTERN ST",41.32252,-72.87186
5486,"530 EASTERN ST",41.321148,-72.87168
5487,"528 EASTERN ST",41.32108,-72.87167
5488,"522 EASTERN ST",41.320877,-72.871666
5489,"400 FOXON BLVD",41.320396,-72.87236
5490,"390 FOXON BLVD",41.320435,-72.872505
5491,"1385 QUINNIPIAC AV",41.32444,-72.87163
5492,"1389 QUINNIPIAC AV",41.324516,-72.87158
5493,"1415 QUINNIPIAC AV #A",41.325,-72.871315
5494,"1415 QUINNIPIAC AV #B",41.325,-72.871315
5495,"1415 QUINNIPIAC AV #C",41.325,-72.871315
5496,"1417 QUINNIPIAC AV #A",41.325035,-72.87129
5497,"1417 QUINNIPIAC AV #B",41.325035,-72.87129
5498,"1417 QUINNIPIAC AV #C",41.325035,-72.87129
5499,"1417 QUINNIPIAC AV #D",41.325035,-72.87129
5500,"1417 QUINNIPIAC AV #E",41.325035,-72.87129
5501,"1417 QUINNIPIAC AV #F",41.325035,-72.87129
5502,"1417 QUINNIPIAC AV #G",41.325035,-72.87129
5503,"1421 QUINNIPIAC AV #A",41.32511,-72.871254
5504,"1421 QUINNIPIAC AV #B",41.32511,-72.871254
5505,"1421 QUINNIPIAC AV #C",41.32511,-72.871254
5506,"1421 QUINNIPIAC AV #D",41.32511,-72.871254
5507,"1421 QUINNIPIAC AV #E",41.32511,-72.871254
5508,"1421 QUINNIPIAC AV #F",41.32511,-72.871254
5509,"1421 QUINNIPIAC AV #G",41.32511,-72.871254
5510,"1423 QUINNIPIAC AV #101",41.32515,-72.87123
5511,"1423 QUINNIPIAC AV #102",41.32515,-72.87123
5512,"1423 QUINNIPIAC AV #103",41.32515,-72.87123
5513,"1423 QUINNIPIAC AV #104",41.32515,-72.87123
5514,"1423 QUINNIPIAC AV #105",41.32515,-72.87123
5515,"1423 QUINNIPIAC AV #106",41.32515,-72.87123
5516,"1423 QUINNIPIAC AV #107",41.32515,-72.87123
5517,"1423 QUINNIPIAC AV #108",41.32515,-72.87123
5518,"1423 QUINNIPIAC AV #109",41.32515,-72.87123
5519,"1423 QUINNIPIAC AV #110",41.32515,-72.87123
5520,"1423 QUINNIPIAC AV #111",41.32515,-72.87123
5521,"1423 QUINNIPIAC AV #112",41.32515,-72.87123
5522,"1423 QUINNIPIAC AV #113",41.32515,-72.87123
5523,"1423 QUINNIPIAC AV #114",41.32515,-72.87123
5524,"1423 QUINNIPIAC AV #115",41.32515,-72.87123
5525,"1423 QUINNIPIAC AV #116",41.32515,-72.87123
5526,"1423 QUINNIPIAC AV #117",41.32515,-72.87123
5527,"1423 QUINNIPIAC AV #118",41.32515,-72.87123
5528,"1423 QUINNIPIAC AV #201",41.32515,-72.87123
5529,"1423 QUINNIPIAC AV #202",41.32515,-72.87123
5530,"1423 QUINNIPIAC AV #203",41.32515,-72.87123
5531,"1423 QUINNIPIAC AV #204",41.32515,-72.87123
5532,"1423 QUINNIPIAC AV #205",41.32515,-72.87123
5533,"1423 QUINNIPIAC AV #206",41.32515,-72.87123
5534,"1423 QUINNIPIAC AV #207",41.32515,-72.87123
5535,"1423 QUINNIPIAC AV #208",41.32515,-72.87123
5536,"1423 QUINNIPIAC AV #209",41.32515,-72.87123
5537,"1423 QUINNIPIAC AV #210",41.32515,-72.87123
5538,"1423 QUINNIPIAC AV #211",41.32515,-72.87123
5539,"1423 QUINNIPIAC AV #212",41.32515,-72.87123
5540,"1423 QUINNIPIAC AV #301",41.32515,-72.87123
5541,"1423 QUINNIPIAC AV #302",41.32515,-72.87123
5542,"1423 QUINNIPIAC AV #303",41.32515,-72.87123
5543,"1423 QUINNIPIAC AV #304",41.32515,-72.87123
5544,"1423 QUINNIPIAC AV #305",41.32515,-72.87123
5545,"1423 QUINNIPIAC AV #306",41.32515,-72.87123
5546,"1423 QUINNIPIAC AV #307",41.32515,-72.87123
5547,"1423 QUINNIPIAC AV #308",41.32515,-72.87123
5548,"1423 QUINNIPIAC AV #401",41.32515,-72.87123
5549,"1423 QUINNIPIAC AV #402",41.32515,-72.87123
5550,"1423 QUINNIPIAC AV #403",41.32515,-72.87123
5551,"1423 QUINNIPIAC AV #404",41.32515,-72.87123
5552,"1423 QUINNIPIAC AV #405",41.32515,-72.87123
5553,"1423 QUINNIPIAC AV #406",41.32515,-72.87123
5554,"1423 QUINNIPIAC AV #407",41.32515,-72.87123
5555,"1423 QUINNIPIAC AV #408",41.32515,-72.87123
5556,"1423 QUINNIPIAC AV #501",41.32515,-72.87123
5557,"1423 QUINNIPIAC AV #502",41.32515,-72.87123
5558,"1423 QUINNIPIAC AV #503",41.32515,-72.87123
5559,"1423 QUINNIPIAC AV #504",41.32515,-72.87123
5560,"1423 QUINNIPIAC AV #505",41.32515,-72.87123
5561,"1423 QUINNIPIAC AV #506",41.32515,-72.87123
5562,"1423 QUINNIPIAC AV   507",41.32515,-72.87123
5563,"1423 QUINNIPIAC AV #508",41.32515,-72.87123
5564,"1423 QUINNIPIAC AV #509",41.32515,-72.87123
5565,"1423 QUINNIPIAC AV #510",41.32515,-72.87123
5566,"1423 QUINNIPIAC AV #511",41.32515,-72.87123
5567,"1423 QUINNIPIAC AV #512",41.32515,-72.87123
5568,"1423 QUINNIPIAC AV #513",41.32515,-72.87123
5569,"1423 QUINNIPIAC AV #514",41.32515,-72.87123
5570,"1423 QUINNIPIAC AV #515",41.32515,-72.87123
5571,"1423 QUINNIPIAC AV #516",41.32515,-72.87123
5572,"1423 QUINNIPIAC AV #517",41.32515,-72.87123
5573,"1423 QUINNIPIAC AV #518",41.32515,-72.87123
5574,"1423 QUINNIPIAC AV #601",41.32515,-72.87123
5575,"1423 QUINNIPIAC AV #602",41.32515,-72.87123
5576,"1423 QUINNIPIAC AV #603",41.32515,-72.87123
5577,"1423 QUINNIPIAC AV #604",41.32515,-72.87123
5578,"1423 QUINNIPIAC AV #605",41.32515,-72.87123
5579,"1423 QUINNIPIAC AV #606",41.32515,-72.87123
5580,"1423 QUINNIPIAC AV #607",41.32515,-72.87123
5581,"1423 QUINNIPIAC AV #608",41.32515,-72.87123
5582,"1423 QUINNIPIAC AV #609",41.32515,-72.87123
5583,"1423 QUINNIPIAC AV #610",41.32515,-72.87123
5584,"1423 QUINNIPIAC AV #611",41.32515,-72.87123
5585,"1423 QUINNIPIAC AV #612",41.32515,-72.87123
5586,"1423 QUINNIPIAC AV #613",41.32515,-72.87123
5587,"1423 QUINNIPIAC AV #614",41.32515,-72.87123
5588,"1423 QUINNIPIAC AV #615",41.32515,-72.87123
5589,"1423 QUINNIPIAC AV #701",41.32515,-72.87123
5590,"1423 QUINNIPIAC AV #702",41.32515,-72.87123
5591,"1423 QUINNIPIAC AV #703",41.32515,-72.87123
5592,"1423 QUINNIPIAC AV #704",41.32515,-72.87123
5593,"1423 QUINNIPIAC AV #705",41.32515,-72.87123
5594,"1423 QUINNIPIAC AV #706",41.32515,-72.87123
5595,"1423 QUINNIPIAC AV #707",41.32515,-72.87123
5596,"1423 QUINNIPIAC AV #708",41.32515,-72.87123
5597,"1423 QUINNIPIAC AV #709",41.32515,-72.87123
5598,"1423 QUINNIPIAC AV #710",41.32515,-72.87123
5599,"1423 QUINNIPIAC AV #711",41.32515,-72.87123
5600,"1423 QUINNIPIAC AV #712",41.32515,-72.87123
5601,"541 EASTERN ST",41.321697,-72.871735
5602,"1423 QUINNIPIAC AV #801",41.32515,-72.87123
5603,"1423 QUINNIPIAC AV #802",41.32515,-72.87123
5604,"1423 QUINNIPIAC AV #803",41.32515,-72.87123
5605,"1423 QUINNIPIAC AV #804",41.32515,-72.87123
5606,"1423 QUINNIPIAC AV #805",41.32515,-72.87123
5607,"1423 QUINNIPIAC AV #806",41.32515,-72.87123
5608,"1423 QUINNIPIAC AV #807",41.32515,-72.87123
5609,"1423 QUINNIPIAC AV #808",41.32515,-72.87123
5610,"1423 QUINNIPIAC AV #809",41.32515,-72.87123
5611,"1423 QUINNIPIAC AV #810",41.32515,-72.87123
5612,"1423 QUINNIPIAC AV #811",41.32515,-72.87123
5613,"1423 QUINNIPIAC AV #812",41.32515,-72.87123
5614,"1423 QUINNIPIAC AV #813",41.32515,-72.87123
5615,"1423 QUINNIPIAC AV #814",41.32515,-72.87123
5616,"1423 QUINNIPIAC AV #815",41.32515,-72.87123
5617,"1423 QUINNIPIAC AV #901",41.32515,-72.87123
5618,"1423 QUINNIPIAC AV #902",41.32515,-72.87123
5619,"1423 QUINNIPIAC AV #903",41.32515,-72.87123
5620,"1423 QUINNIPIAC AV #904",41.32515,-72.87123
5621,"1423 QUINNIPIAC AV #905",41.32515,-72.87123
5622,"1423 QUINNIPIAC AV #906",41.32515,-72.87123
5623,"1381 QUINNIPIAC AV",41.324368,-72.87167
5624,"DELL DR",NA,NA
5625,"466 FOXON BLVD",41.320225,-72.871605
5626,"120 DELL DR",41.323254,-72.86648
5627,"1363 QUINNIPIAC AV",41.324036,-72.87187
5628,"100 DELL DR",41.32315,-72.866516
5629,"102 DANIEL DR",41.322742,-72.86823
5630,"92 DANIEL DR",41.322613,-72.86827
5631,"84 DANIEL DR",41.322506,-72.86828
5632,"78 DANIEL DR",41.322426,-72.86828
5633,"72 DANIEL DR",41.322346,-72.868286
5634,"64 DANIEL DR",41.322243,-72.86826
5635,"40 DANIEL DR",41.321957,-72.868065
5636,"30 DANIEL DR",41.321865,-72.867935
5637,"20 DANIEL DR",41.321785,-72.8678
5638,"12 DANIEL DR",41.32174,-72.86767
5639,"30 DELL DR",41.321423,-72.86725
5640,"20 DELL DR",41.32105,-72.86732
5641,"500 FOXON BLVD",41.320213,-72.87153
5642,"510 FOXON BLVD",41.32021,-72.871506
5643,"490 FOXON BLVD",41.320217,-72.87155
5644,NA,NA,NA
5645,"86 DELL DR",41.322742,-72.8667
5646,"78 DELL DR",41.322582,-72.86677
5647,"70 DELL DR",41.322422,-72.86684
5648,"62 DELL DR",41.32226,-72.86691
5649,"54 DELL DR",41.322098,-72.86698
5650,"46 DELL DR",41.321938,-72.86705
5651,"19 DANIEL DR",41.321945,-72.86803
5652,"31 DANIEL DR",41.322216,-72.86824
5653,"37 DANIEL DR",41.322372,-72.86827
5654,"47 DANIEL DR",41.32264,-72.868256
5655,"55 DANIEL DR",41.322838,-72.868164
5656,"63 DANIEL DR",41.323025,-72.86803
5657,"77 DANIEL DR",41.323208,-72.86763
5658,"89 DANIEL DR",41.323174,-72.86721
5659,"511 FOXON BLVD",NA,NA
5660,"1439 QUINNIPIAC AV",41.325756,-72.87089
5661,"1419 QUINNIPIAC AV",41.325073,-72.87127
5662,"1445 QUINNIPIAC AV",41.32589,-72.87081
5663,"1451 QUINNIPIAC AV",41.326027,-72.870735
5664,"1453 QUINNIPIAC AV",41.32607,-72.87071
5665,"1455 QUINNIPIAC AV",41.326115,-72.87068
5666,"1457 QUINNIPIAC AV",41.32616,-72.87066
5667,"1459 QUINNIPIAC AV",41.326206,-72.870636
5668,"1461 QUINNIPIAC AV",41.326252,-72.870605
5669,"1481 QUINNIPIAC AV",41.326702,-72.870346
5670,"QUINNIPIAC AV",NA,NA
5671,"QUINNIPIAC AV",NA,NA
5672,NA,NA,NA
5673,"1425 QUINNIPIAC AV #201",41.32544,-72.87107
5674,"1425 QUINNIPIAC AV #202",41.32544,-72.87107
5675,"1425 QUINNIPIAC AV #203",41.32544,-72.87107
5676,"1425 QUINNIPIAC AV #204",41.32544,-72.87107
5677,"1425 QUINNIPIAC AV #205",41.32544,-72.87107
5678,"1425 QUINNIPIAC AV #206",41.32544,-72.87107
5679,"1425 QUINNIPIAC AV #207",41.32544,-72.87107
5680,"1425 QUINNIPIAC AV #208",41.32544,-72.87107
5681,"1425 QUINNIPIAC AV #209",41.32544,-72.87107
5682,"1425 QUINNIPIAC AV #210",41.32544,-72.87107
5683,"1425 QUINNIPIAC AV #211",41.32544,-72.87107
5684,"1425 QUINNIPIAC AV #212",41.32544,-72.87107
5685,"1425 QUINNIPIAC AV #301",41.32544,-72.87107
5686,"1425 QUINNIPIAC AV #302",41.32544,-72.87107
5687,"1425 QUINNIPIAC AV #303",41.32544,-72.87107
5688,"1425 QUINNIPIAC AV #304",41.32544,-72.87107
5689,"1425 QUINNIPIAC AV #305",41.32544,-72.87107
5690,"1425 QUINNIPIAC AV #306",41.32544,-72.87107
5691,"1425 QUINNIPIAC AV #307",41.32544,-72.87107
5692,"1425 QUINNIPIAC AV #308",41.32544,-72.87107
5693,"1425 QUINNIPIAC AV #309",41.32544,-72.87107
5694,"1425 QUINNIPIAC AV #310",41.32544,-72.87107
5695,"1425 QUINNIPIAC AV #311",41.32544,-72.87107
5696,"1425 QUINNIPIAC AV #312",41.32544,-72.87107
5697,"1425 QUINNIPIAC AV #0101",41.32544,-72.87107
5698,"1425 QUINNIPIAC AV #0102",41.32544,-72.87107
5699,"1425 QUINNIPIAC AV #0103",41.32544,-72.87107
5700,"1425 QUINNIPIAC AV #0104",41.32544,-72.87107
5701,"1425 QUINNIPIAC AV #0105",41.32544,-72.87107
5702,"1425 QUINNIPIAC AV #0106",41.32544,-72.87107
5703,"1425 QUINNIPIAC AV #0107",41.32544,-72.87107
5704,"1425 QUINNIPIAC AV #0108",41.32544,-72.87107
5705,"1425 QUINNIPIAC AV #0109",41.32544,-72.87107
5706,"1425 QUINNIPIAC AV #0110",41.32544,-72.87107
5707,"1425 QUINNIPIAC AV #0111",41.32544,-72.87107
5708,"1425 QUINNIPIAC AV #0112",41.32544,-72.87107
5709,"1425 QUINNIPIAC AV #0113",41.32544,-72.87107
5710,"1425 QUINNIPIAC AV #0114",41.32544,-72.87107
5711,"1425 QUINNIPIAC AV #0115",41.32544,-72.87107
5712,"1350 QUINNIPIAC AV",41.32363,-72.87213
5713,"1342 QUINNIPIAC AV",41.323296,-72.87236
5714,"1336 QUINNIPIAC AV",41.323048,-72.872536
5715,"1332 QUINNIPIAC AV",41.322807,-72.872696
5716,"1324 QUINNIPIAC AV",41.32263,-72.87282
5717,"1320 QUINNIPIAC AV",41.32254,-72.87288
5718,"1320 QUINNIPIAC AV",41.32254,-72.87288
5719,"1 QUINNIPIAC #CT",NA,NA
5720,"1310 QUINNIPIAC AV",41.32232,-72.87303
5721,"1298 QUINNIPIAC AV",41.32205,-72.873215
5722,"1290 QUINNIPIAC AV",41.321873,-72.87334
5723,"BARNES AV",NA,NA
5724,"242 BARNES AV",41.32233,-72.87502
5725,"238 BARNES AV",41.322342,-72.87512
5726,"226 BARNES AV",41.322372,-72.87542
5727,"216 BARNES AV",41.322395,-72.87566
5728,"210 BARNES AV",41.32241,-72.87582
5729,"208 BARNES AV",41.322414,-72.87586
5730,"204 BARNES AV",41.322426,-72.87596
5731,"202 BARNES AV",41.32243,-72.87601
5732,"188 BARNES AV",41.322487,-72.87635
5733,"188 BARNES AV #A",41.322487,-72.87635
5734,"188 BARNES AV #B",41.322487,-72.87635
5735,"188 BARNES AV #C",41.322487,-72.87635
5736,"188 BARNES AV #D",41.322487,-72.87635
5737,"188 BARNES AV #E",41.322487,-72.87635
5738,"188 BARNES AV #F",41.322487,-72.87635
5739,"188 BARNES AV #G",41.322487,-72.87635
5740,"188 BARNES AV #H",41.322487,-72.87635
5741,"188 BARNES AV #I",41.322487,-72.87635
5742,"188 BARNES AV #J",41.322487,-72.87635
5743,"188 BARNES AV #K",41.322487,-72.87635
5744,"184 BARNES AV",41.32251,-72.87644
5745,"180 BARNES AV",41.322548,-72.876526
5746,"174 BARNES AV",41.32262,-72.87664
5747,"154 BARNES AV",41.32293,-72.876915
5748,"148 BARNES AV",41.323025,-72.87699
5749,"BARNES AV",NA,NA
5750,"138 BARNES AV",41.323185,-72.87712
5751,"5 KENNY DR",41.32364,-72.87718
5752,"13 KENNY DR",41.32377,-72.87694
5753,"19 KENNY DR",41.323864,-72.87675
5754,"25 KENNY DR",41.32396,-72.876564
5755,"5 EMILY RD",41.323925,-72.876015
5756,"15 EMILY RD",41.323837,-72.87591
5757,"19 EMILY RD",41.323803,-72.87587
5758,"23 EMILY RD",41.323765,-72.875824
5759,"27 EMILY RD",41.32373,-72.875786
5760,"33 EMILY RD",41.32367,-72.87573
5761,"37 EMILY RD",41.323635,-72.87569
5762,"43 EMILY RD",41.323635,-72.875595
5763,"49 EMILY RD",41.323647,-72.875496
5764,"55 EMILY RD",41.32366,-72.875404
5765,"61 EMILY RD",41.323673,-72.87531
5766,"67 EMILY RD",41.323685,-72.87521
5767,"73 EMILY RD",41.323696,-72.87512
5768,"77 EMILY RD",41.323704,-72.87506
5769,"85 EMILY RD",41.323723,-72.87494
5770,"89 EMILY RD",41.32373,-72.87487
5771,"95 EMILY RD",41.323742,-72.87478
5772,"45 KENNY DR",41.324375,-72.87565
5773,"55 KENNY DR",41.324463,-72.87534
5774,"59 KENNY DR",41.324497,-72.87522
5775,"65 KENNY DR",41.32455,-72.87504
5776,"71 KENNY DR",41.324585,-72.874855
5777,"79 KENNY DR",41.324627,-72.8746
5778,"85 KENNY DR",41.324654,-72.874405
5779,"89 KENNY DR",41.32467,-72.87428
5780,"95 KENNY DR",41.324696,-72.87409
5781,"101 KENNY DR",41.324722,-72.8739
5782,"115 KENNY DR",41.32466,-72.87348
5783,"133 KENNY DR",41.324314,-72.87313
5784,"88 EMILY RD",41.32391,-72.87348
5785,"82 EMILY RD",41.323887,-72.87367
5786,"76 EMILY RD",41.323864,-72.87386
5787,"70 EMILY RD",41.32384,-72.87406
5788,"66 EMILY RD",41.323826,-72.87419
5789,"60 EMILY RD",41.323803,-72.87438
5790,"52 EMILY RD",41.323772,-72.87464
5791,"46 EMILY RD",41.323746,-72.87483
5792,"40 EMILY RD",41.323723,-72.87502
5793,"34 EMILY RD",41.323696,-72.87522
5794,"28 EMILY RD",41.32367,-72.87541
5795,"10 EMILY RD",41.323822,-72.87587
5796,"1364 QUINNIPIAC AV",41.324055,-72.87187
5797,"1360 QUINNIPIAC AV",41.323975,-72.87192
5798,"154 KENNY DR",41.323906,-72.87262
5799,"144 KENNY DR",41.323948,-72.872734
5800,"136 KENNY DR",41.324203,-72.873
5801,"130 KENNY DR",41.324326,-72.87312
5802,"122 KENNY DR",41.324486,-72.87329
5803,"116 KENNY DR",41.324608,-72.87341
5804,"112 KENNY DR",41.324688,-72.8735
5805,"108 KENNY DR",41.324738,-72.87361
5806,"102 KENNY DR",41.32474,-72.87382
5807,"96 KENNY DR",41.32472,-72.874016
5808,"90 KENNY DR",41.32469,-72.874214
5809,"84 KENNY DR",41.324665,-72.87441
5810,"78 KENNY DR",41.324635,-72.87461
5811,"74 KENNY DR",41.324615,-72.87475
5812,"68 KENNY DR",41.32458,-72.87495
5813,"62 KENNY DR",41.324535,-72.87514
5814,"56 KENNY DR",41.324482,-72.87533
5815,"50 KENNY DR",41.324425,-72.87551
5816,"44 KENNY DR",41.324368,-72.8757
5817,"38 KENNY DR",41.3243,-72.875885
5818,"32 KENNY DR",41.324066,-72.87638
5819,"26 KENNY DR",41.32397,-72.87657
5820,"20 KENNY DR",41.32387,-72.876755
5821,"14 KENNY DR",41.323776,-72.876945
5822,"6 KENNY DR",41.323647,-72.8772
5823,"106 BARNES AV",41.32418,-72.87798
5824,"94 BARNES AV",41.32443,-72.8782
5825,"84 BARNES AV",41.32464,-72.87837
5826,"70 BARNES AV",41.32495,-72.878555
5827,"45 BARNES AV",41.32537,-72.87877
5828,"125 BARNES AV",41.323788,-72.87766
