"744","190 KNEELAND RD, New Haven, CT, 06511","Match","Non_Exact","190 KNEELAND RD, NEW HAVEN, CT, 06512","-72.897285,41.277683","3704071","L"
"743","19 TUTTLE ST, New Haven, CT, 06511","Match","Non_Exact","19 TUTTLE ST, NEW HAVEN, CT, 06512","-72.89742,41.278294","3704069","R"
"742","196 KNEELAND RD, New Haven, CT, 06511","Match","Non_Exact","196 KNEELAND RD, NEW HAVEN, CT, 06512","-72.89723,41.277843","3704071","L"
"741","TUTTLE ST, New Haven, CT, 06511","No_Match"
"349","230 SOUTH END RD, New Haven, CT, 06511","No_Match"
"930","91 KNEELAND RD, New Haven, CT, 06511","Match","Non_Exact","91 KNEELAND RD, NEW HAVEN, CT, 06512","-72.89815,41.274994","3704074","R"
"931","95 KNEELAND RD, New Haven, CT, 06511","Match","Non_Exact","95 KNEELAND RD, NEW HAVEN, CT, 06512","-72.89812,41.275085","3704074","R"
"932","101 KNEELAND RD, New Haven, CT, 06511","Match","Non_Exact","101 KNEELAND RD, NEW HAVEN, CT, 06512","-72.89807,41.275223","3704074","R"
"341","27 ANTHONY DR, New Haven, CT, 06511","Match","Non_Exact","27 ANTHONY DR, NEW HAVEN, CT, 06512","-72.89416,41.254482","3706052","R"
"933","107 KNEELAND RD, New Haven, CT, 06511","Match","Non_Exact","107 KNEELAND RD, NEW HAVEN, CT, 06512","-72.89803,41.275364","3704074","R"
"342","387 LIGHTHOUSE RD, New Haven, CT, 06511","Match","Non_Exact","387 LIGHTHOUSE RD, NEW HAVEN, CT, 06512","-72.8943,41.255157","3706064","R"
"343","397 LIGHTHOUSE RD, New Haven, CT, 06511","Match","Non_Exact","397 LIGHTHOUSE RD, NEW HAVEN, CT, 06512","-72.893906,41.25523","3706064","R"
"934","113 KNEELAND RD, New Haven, CT, 06511","Match","Non_Exact","113 KNEELAND RD, NEW HAVEN, CT, 06512","-72.89799,41.2755","3704074","R"
"344","401 LIGHTHOUSE RD, New Haven, CT, 06511","Match","Non_Exact","401 LIGHTHOUSE RD, NEW HAVEN, CT, 06512","-72.89375,41.25526","3706064","R"
"935","119 KNEELAND RD, New Haven, CT, 06511","Match","Non_Exact","119 KNEELAND RD, NEW HAVEN, CT, 06512","-72.89794,41.27564","3704074","R"
"345","411 LIGHTHOUSE RD, New Haven, CT, 06511","Match","Non_Exact","411 LIGHTHOUSE RD, NEW HAVEN, CT, 06512","-72.89336,41.255333","3706064","R"
"936","125 KNEELAND RD, New Haven, CT, 06511","Match","Non_Exact","125 KNEELAND RD, NEW HAVEN, CT, 06512","-72.897896,41.27578","3704074","R"
"346","435 LIGHTHOUSE RD, New Haven, CT, 06511","Match","Non_Exact","435 LIGHTHOUSE RD, NEW HAVEN, CT, 06512","-72.892685,41.255695","3706062","R"
"937","131 KNEELAND RD, New Haven, CT, 06511","Match","Non_Exact","131 KNEELAND RD, NEW HAVEN, CT, 06512","-72.89786,41.275917","3704074","R"
"347","NA, New Haven, CT, 06511","No_Match"
"938","55 RAYNHAM RD, New Haven, CT, 06511","No_Match"
"348","NA, New Haven, CT, 06511","No_Match"
