pid,location
236,76 LAURA LA
237,72 LAURA LA
238,68 LAURA LA
239,62 LAURA LA
240,56 LAURA LA
241,50 LAURA LA
242,46 LAURA LA
243,42 LAURA LA
244,38 LAURA LA
245,32 LAURA LA
246,24 LAURA LA
247,16 LAURA LA
248,10 LAURA LA
249,4 LAURA LA
250,115 LAURA LA
251,107 LAURA LA
252,101 LAURA LA
253,95 LAURA LA
254,87 LAURA LA
255,81 LAURA LA
256,35 LAURA LA
257,29 LAURA LA
258,23 LAURA LA
259,17 LAURA LA
260,11 LAURA LA
261,5 LAURA LA
262,159 HUNTINGTON RD
263,157 HUNTINGTON RD
264,151 HUNTINGTON RD
265,155 HUNTINGTON RD
266,145 HUNTINGTON RD
267,137 HUNTINGTON RD
268,129 HUNTINGTON RD
269,123 HUNTINGTON RD
270,115 HUNTINGTON RD
271,107 HUNTINGTON RD
272,99 HUNTINGTON RD
273,91 HUNTINGTON RD
274,83 HUNTINGTON RD
275,75 HUNTINGTON RD
276,65 HUNTINGTON RD
277,44 ELIZABETH ANN DR
278,52 ELIZABETH ANN DR
279,56 ELIZABETH ANN DR
280,60 ELIZABETH ANN DR
281,66 ELIZABETH ANN DR
282,CHARTER OAK AV
283,CHARTER OAK AV
284,CHARTER OAK AV
285,CHARTER OAK AV
286,CHARTER OAK AV
287,CHARTER OAK AV
288,125 HUNTINGTON RD
289,CHARTER OAK AV
290,CHARTER OAK AV
291,4 HUGHES ST EX
292,8 HUGHES ST EX
293,72 ELIZABETH ANN DR
294,78 ELIZABETH ANN DR
295,84 ELIZABETH ANN DR
296,88 ELIZABETH ANN DR
297,94 ELIZABETH ANN DR
298,100 ELIZABETH ANN DR
299,104 ELIZABETH ANN DR
300,110 ELIZABETH ANN DR
301,118 ELIZABETH ANN DR
302,124 ELIZABETH ANN DR
303,132 ELIZABETH ANN DR
304,138 ELIZABETH ANN DR
305,146 ELIZABETH ANN DR
306,5 MASSACHUSETTS AV
307,11 MASSACHUSETTS AV
308,MASSACHUSETTS AV
309,75 ELIZABETH ANN DR
310,55 ELIZABETH ANN DR
311,49 ELIZABETH ANN DR
312,41 ELIZABETH ANN DR
313,35 ELIZABETH ANN DR
314,29 ELIZABETH ANN DR
315,21 ELIZABETH ANN DR
316,15 ELIZABETH ANN DR
317,7 ELIZABETH ANN DR
318,CLARENDON ST
319,147 ELIZABETH ANN DR
320,141 ELIZABETH ANN DR
321,131 ELIZABETH ANN DR
322,125 ELIZABETH ANN DR
323,117 ELIZABETH ANN DR
324,103 ELIZABETH ANN DR
325,109 ELIZABETH ANN DR
326,83 ELIZABETH ANN DR
327,53 HUNTINGTON RD
328,41 HUNTINGTON RD
329,37 HUNTINGTON RD
330,29 HUNTINGTON RD
331,23 HUNTINGTON RD
332,NA
333,87 CLARENDON ST
334,95 CLARENDON ST
335,105 CLARENDON ST
336,8 ELIZABETH ANN DR
337,18 ELIZABETH ANN DR
338,28 ELIZABETH ANN DR
339,32 ELIZABETH ANN DR
340,821 TOWNSEND AV
341,29 SOUND VIEW TER
342,39 SOUND VIEW TER
343,49 SOUND VIEW TER
344,59 SOUND VIEW TER
345,75 SOUND VIEW TER
346,85 SOUND VIEW TER
347,95 SOUND VIEW TER
348,105 SOUND VIEW TER
349,115 SOUND VIEW TER
350,125 SOUND VIEW TER
351,135 SOUND VIEW TER
352,145 SOUND VIEW TER
353,4 HORSLEY AV
354,2 HORSLEY AV
355,HORSLEY AV
356,TUTTLE DR
357,174 TUTTLE DR
358,168 TUTTLE DR
359,160 TUTTLE DR
360,150 TUTTLE DR
361,144 TUTTLE DR
362,136 TUTTLE DR
363,128 TUTTLE DR
364,120 TUTTLE DR
365,112 TUTTLE DR
366,104 TUTTLE DR
367,785 TOWNSEND AV
368,795 TOWNSEND AV
369,801 TOWNSEND AV
370,TOWNSEND AV
371,809 TOWNSEND AV
372,91 HORSLEY AV
373,265 UPSON TER
374,285 UPSON TER
